Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
Check if SSL is enabled,20181024060701,2018-10-24 06:08:24,210,West Coast Dental,106802,West Coast Dental - 6th Street,LIVE,http://westcoastdental.com/locations/los-angeles-6th-street/,2136749767,2136749767,2136749767,2136749767,2136749767,No DB Paid Number,0,PPC Not Found,0,http://www.westcoastdental.com/locations/los-angeles-6th-street/?provider=google,301,200,209.17.116.160,ns33.domaincontrol.com.,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024060701,2018-10-24 06:08:43,210,West Coast Dental,111988,West Coast Dental - Valencia (Canyon Dental Group),LIVE,http://canyondentalgroupvalencia.com,6612143713,6612143713,6612932479,6612932479,6612143713,6612932479,0,PPC Not Found,0,http://www.canyondentalgroupvalencia.com/?provider=google,301,200,205.178.153.6,dns1.name-services.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024060701,2018-10-24 06:09:02,210,West Coast Dental,146280,West Coast Dental - Tacoma (Peak Dental of Tacoma),LIVE,http://peak-dental.com/locations/tacoma/,2532719734,2532719734,2532425970,2532425970,2532719734,2532425970,0,PPC Not Found,0,http://www.peak-dental.com/locations/tacoma/?provider=google,301,200,209.17.116.160,ns27.domaincontrol.com.,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024060701,2018-10-24 06:09:23,210,West Coast Dental,146282,West Coast Dental - Lynnwood (Peak Dental of Lynnwood),LIVE,http://peak-dental.com/locations/lynnwood/,4253297259,4253297259,4253296778,4253296778,4253297259,4253296778,0,PPC Not Found,0,http://www.peak-dental.com/locations/lynnwood/?provider=google,301,200,209.17.116.160,ns27.domaincontrol.com.,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024060701,2018-10-24 06:09:41,210,West Coast Dental,148538,West Coast Dental - Orange,LIVE,http://westcoastdental.com/locations/orange/,7145983923,7145983923,7145983923,7145983923,7145983923,No DB Paid Number,0,PPC Not Found,0,http://www.westcoastdental.com/locations/orange/?provider=google,301,200,209.17.116.160,ns33.domaincontrol.com.,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024060701,2018-10-24 06:10:01,210,West Coast Dental,151099,West Coast Dental - Monrovia,LIVE,http://westcoastdental.com/locations/monrovia/,6263854936,6263854936,6264082919,6264082919,6263854936,6264082919,0,PPC Not Found,0,http://www.westcoastdental.com/locations/monrovia/?provider=google,301,200,209.17.116.160,ns33.domaincontrol.com.,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024060701,2018-10-24 06:10:28,210,West Coast Dental,190199,West Coast Dental - Pomona,LIVE,http://westcoastdentalpomona.com,9097661922,9097661922,9095428928,9095428928,9097661922,9095428928,0,PPC Not Found,0,http://www.westcoastdentalpomona.com/?provider=google,301,200,205.178.153.6,dns3.name-services.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024060701,2018-10-24 06:10:48,210,West Coast Dental,205090,West Coast Dental - Bellevue (Peak Dental of Bellevue),LIVE,http://peak-dental.com/locations/bellevue/,4252708906,4252708906,4252708348,4252708348,4252708906,4252708348,0,PPC Not Found,0,http://www.peak-dental.com/locations/bellevue/?provider=google,301,200,209.17.116.160,ns27.domaincontrol.com.,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024060701,2018-10-24 06:11:07,210,West Coast Dental,254657,West Coast Dental - Corona,LIVE,http://westcoastdental.com/locations/corona/,9515319504,9515319504,9515277764,9515277764,9515319504,9515277764,0,PPC Not Found,0,http://www.westcoastdental.com/locations/corona/?provider=google,301,200,209.17.116.160,ns33.domaincontrol.com.,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024060701,2018-10-24 06:11:26,210,West Coast Dental,272767,West Coast Dental - Riverside,LIVE,http://westcoastdental.com/locations/riverside/,9514656982,9514656982,9514656982,9514656982,9514656982,No DB Paid Number,0,PPC Not Found,0,http://www.westcoastdental.com/locations/riverside/?provider=google,301,200,209.17.116.160,ns33.domaincontrol.com.,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024060701,2018-10-24 06:11:45,210,West Coast Dental,319182,West Coast Dental Corporate Shell,LIVE,http://westcoastdental.com,9514656982,9514656982,8883873308,8883873308,8883873308,No DB Paid Number,0,PPC Not Found,0,http://www.westcoastdental.com/?provider=google,301,200,209.17.116.160,ns33.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024060701,2018-10-24 06:12:03,210,West Coast Dental,321571,West Coast Dental - Menifee,LIVE,http://westcoastdental.com/locations/menifee/,9512253324,9512253324,9513275634,9513275634,9512253324,9513275634,0,PPC Not Found,0,http://www.westcoastdental.com/locations/menifee/?provider=google,301,200,209.17.116.160,ns33.domaincontrol.com.,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024060701,2018-10-24 06:12:22,210,West Coast Dental,321667,West Coast Dental - Arcadia (Dental Group of Arcadia),LIVE,http://westcoastdental.com/locations/arcadia/,6262478365,6262478365,6264671250,6264671250,6262478365,6264671250,0,PPC Not Found,0,http://www.westcoastdental.com/locations/arcadia/?provider=google,301,200,209.17.116.160,ns33.domaincontrol.com.,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024060701,2018-10-24 06:12:41,210,West Coast Dental,321668,West Coast Dental - Baldwin Park,LIVE,http://westcoastdental.com/locations/baldwin-park/,6265988484,6265988484,6265988484,6265988484,6265988484,No DB Paid Number,0,PPC Not Found,0,http://www.westcoastdental.com/locations/baldwin-park/?provider=google,301,200,209.17.116.160,ns33.domaincontrol.com.,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024060701,2018-10-24 06:13:00,210,West Coast Dental,321745,West Coast Dental - Covina (Dental Group of Covina),LIVE,http://westcoastdental.com/locations/covina/,6265062216,6265062216,6265062216,6265062216,6265062216,No DB Paid Number,0,PPC Not Found,0,http://www.westcoastdental.com/locations/covina/?provider=google,301,200,209.17.116.160,ns33.domaincontrol.com.,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024060701,2018-10-24 06:13:20,210,West Coast Dental,321762,West Coast Dental - Gage,LIVE,http://westcoastdental.com/locations/los-angeles-gage/,3233640093,3233640093,3233640093,3233640093,3233640093,No DB Paid Number,0,PPC Not Found,0,http://www.westcoastdental.com/locations/los-angeles-gage/?provider=google,301,200,209.17.116.160,ns33.domaincontrol.com.,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,
