Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024074531,2018-10-24 07:50:49,766,Lash Lounge,339772,The Lash Lounge - Flower Mound,LIVE,http://thelashlounge.com/salons/flower-mound/,9728538755,9728538755,9728538755,9728538755,9728538755,4692499818,0,PPC Not Found,0,http://www.thelashlounge.com/salons/flower-mound/?provider=google,301,200,67.43.6.97,ns1.bluehost.com.,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,
All Errors,20181024074531,2018-10-24 07:51:12,766,Lash Lounge,348178,The Lash Lounge - Plano Preston Towne Crossing,LIVE,http://thelashlounge.com/salons/plano-preston-tc/,8174425274,0,8174425274,0,4692622689,4692620074,0,PPC Not Found,0,http://www.thelashlounge.com/salons/plano-preston-tc/?provider=google,301,404,67.43.6.97,ns2.bluehost.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
All Errors,20181024074531,2018-10-24 07:51:32,766,Lash Lounge,348778,The Lash Lounge - Coppell,LIVE,http://thelashlounge.com/salons/coppell,8179685274,8179685274,8179685274,8179685274,6822140073,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/coppell/?provider=google,301,200,67.43.6.97,ns1.bluehost.com.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
All Errors,20181024074531,2018-10-24 07:51:56,766,Lash Lounge,349759,The Lash Lounge - Overland Park,LIVE,http://thelashlounge.com/salons/overland-park/,9132700710,9132700710,9132700710,9132700710,9132130453,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/overland-park/?provider=google,301,200,67.43.6.97,ns2.bluehost.com.,yes,yes,no,no,no,no,no,yes,yes,no,no,no,
Check if website is live,20181024074531,2018-10-24 07:47:27,766,Lash Lounge,339763,The Lash Lounge - Dallas Park Cities,LIVE,http://thelashlounge.com/salons/dallas-park-cities/,8174425274,0,8174425274,0,2143800625,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/dallas-park-cities/?provider=google,301,404,67.43.6.97,ns1.bluehost.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
Check if website is live,20181024074531,2018-10-24 07:51:12,766,Lash Lounge,348178,The Lash Lounge - Plano Preston Towne Crossing,LIVE,http://thelashlounge.com/salons/plano-preston-tc/,8174425274,0,8174425274,0,4692622689,4692620074,0,PPC Not Found,0,http://www.thelashlounge.com/salons/plano-preston-tc/?provider=google,301,404,67.43.6.97,ns2.bluehost.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181024074531,2018-10-24 07:47:04,766,Lash Lounge,339761,The Lash Lounge - Colleyville,LIVE,http://thelashlounge.com/salons/colleyville/,8179535079,8179535079,8179535079,8179535079,6822571915,6822574010,0,PPC Not Found,0,http://www.thelashlounge.com/salons/colleyville/?provider=google,301,200,67.43.6.97,ns2.bluehost.com.,yes,yes,no,no,no,no,no,yes,yes,no,no,no,
Check unpaid desktop CTN,20181024074531,2018-10-24 07:47:27,766,Lash Lounge,339763,The Lash Lounge - Dallas Park Cities,LIVE,http://thelashlounge.com/salons/dallas-park-cities/,8174425274,0,8174425274,0,2143800625,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/dallas-park-cities/?provider=google,301,404,67.43.6.97,ns1.bluehost.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181024074531,2018-10-24 07:47:47,766,Lash Lounge,339764,The Lash Lounge - Memorial Green,LIVE,http://thelashlounge.com/salons/memorial-green/,7135975274,7135975274,7135975274,7135975274,7138931453,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/memorial-green/?provider=google,301,200,67.43.6.97,ns1.bluehost.com.,yes,yes,no,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181024074531,2018-10-24 07:48:54,766,Lash Lounge,339767,The Lash Lounge - Viera,LIVE,http://thelashlounge.com/salons/viera/,3219855274,3219855274,3219855274,3219855274,3213280523,3213289190,0,PPC Not Found,0,http://www.thelashlounge.com/salons/viera/?provider=google,301,200,67.43.6.97,ns2.bluehost.com.,yes,yes,no,no,no,no,no,yes,yes,no,no,no,
Check unpaid desktop CTN,20181024074531,2018-10-24 07:51:12,766,Lash Lounge,348178,The Lash Lounge - Plano Preston Towne Crossing,LIVE,http://thelashlounge.com/salons/plano-preston-tc/,8174425274,0,8174425274,0,4692622689,4692620074,0,PPC Not Found,0,http://www.thelashlounge.com/salons/plano-preston-tc/?provider=google,301,404,67.43.6.97,ns2.bluehost.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181024074531,2018-10-24 07:51:32,766,Lash Lounge,348778,The Lash Lounge - Coppell,LIVE,http://thelashlounge.com/salons/coppell,8179685274,8179685274,8179685274,8179685274,6822140073,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/coppell/?provider=google,301,200,67.43.6.97,ns1.bluehost.com.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
Check unpaid desktop CTN,20181024074531,2018-10-24 07:51:56,766,Lash Lounge,349759,The Lash Lounge - Overland Park,LIVE,http://thelashlounge.com/salons/overland-park/,9132700710,9132700710,9132700710,9132700710,9132130453,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/overland-park/?provider=google,301,200,67.43.6.97,ns2.bluehost.com.,yes,yes,no,no,no,no,no,yes,yes,no,no,no,
Check unpaid mobile CTN,20181024074531,2018-10-24 07:47:04,766,Lash Lounge,339761,The Lash Lounge - Colleyville,LIVE,http://thelashlounge.com/salons/colleyville/,8179535079,8179535079,8179535079,8179535079,6822571915,6822574010,0,PPC Not Found,0,http://www.thelashlounge.com/salons/colleyville/?provider=google,301,200,67.43.6.97,ns2.bluehost.com.,yes,yes,no,no,no,no,no,yes,yes,no,no,no,
Check unpaid mobile CTN,20181024074531,2018-10-24 07:47:27,766,Lash Lounge,339763,The Lash Lounge - Dallas Park Cities,LIVE,http://thelashlounge.com/salons/dallas-park-cities/,8174425274,0,8174425274,0,2143800625,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/dallas-park-cities/?provider=google,301,404,67.43.6.97,ns1.bluehost.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181024074531,2018-10-24 07:47:47,766,Lash Lounge,339764,The Lash Lounge - Memorial Green,LIVE,http://thelashlounge.com/salons/memorial-green/,7135975274,7135975274,7135975274,7135975274,7138931453,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/memorial-green/?provider=google,301,200,67.43.6.97,ns1.bluehost.com.,yes,yes,no,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181024074531,2018-10-24 07:48:54,766,Lash Lounge,339767,The Lash Lounge - Viera,LIVE,http://thelashlounge.com/salons/viera/,3219855274,3219855274,3219855274,3219855274,3213280523,3213289190,0,PPC Not Found,0,http://www.thelashlounge.com/salons/viera/?provider=google,301,200,67.43.6.97,ns2.bluehost.com.,yes,yes,no,no,no,no,no,yes,yes,no,no,no,
Check unpaid mobile CTN,20181024074531,2018-10-24 07:51:12,766,Lash Lounge,348178,The Lash Lounge - Plano Preston Towne Crossing,LIVE,http://thelashlounge.com/salons/plano-preston-tc/,8174425274,0,8174425274,0,4692622689,4692620074,0,PPC Not Found,0,http://www.thelashlounge.com/salons/plano-preston-tc/?provider=google,301,404,67.43.6.97,ns2.bluehost.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181024074531,2018-10-24 07:51:32,766,Lash Lounge,348778,The Lash Lounge - Coppell,LIVE,http://thelashlounge.com/salons/coppell,8179685274,8179685274,8179685274,8179685274,6822140073,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/coppell/?provider=google,301,200,67.43.6.97,ns1.bluehost.com.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
Check unpaid mobile CTN,20181024074531,2018-10-24 07:51:56,766,Lash Lounge,349759,The Lash Lounge - Overland Park,LIVE,http://thelashlounge.com/salons/overland-park/,9132700710,9132700710,9132700710,9132700710,9132130453,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/overland-park/?provider=google,301,200,67.43.6.97,ns2.bluehost.com.,yes,yes,no,no,no,no,no,yes,yes,no,no,no,
Check session tracking code,20181024074531,2018-10-24 07:46:19,766,Lash Lounge,339759,The Lash Lounge - Ann Arbor,LIVE,http://thelashlounge.com/salons/ann-arbor/,7343657167,7343657167,7343657167,7343657167,7343657167,7343656348,0,PPC Not Found,0,http://www.thelashlounge.com/salons/ann-arbor/?provider=google,301,200,67.43.6.97,ns2.bluehost.com.,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,
Check session tracking code,20181024074531,2018-10-24 07:47:27,766,Lash Lounge,339763,The Lash Lounge - Dallas Park Cities,LIVE,http://thelashlounge.com/salons/dallas-park-cities/,8174425274,0,8174425274,0,2143800625,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/dallas-park-cities/?provider=google,301,404,67.43.6.97,ns1.bluehost.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
Check session tracking code,20181024074531,2018-10-24 07:47:47,766,Lash Lounge,339764,The Lash Lounge - Memorial Green,LIVE,http://thelashlounge.com/salons/memorial-green/,7135975274,7135975274,7135975274,7135975274,7138931453,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/memorial-green/?provider=google,301,200,67.43.6.97,ns1.bluehost.com.,yes,yes,no,no,no,no,no,yes,no,no,no,no,
Check session tracking code,20181024074531,2018-10-24 07:48:09,766,Lash Lounge,339765,The Lash Lounge - Sandy Springs,LIVE,http://thelashlounge.com/salons/sandy-springs/,4048573796,4048573796,4048573796,4048573796,4048573796,4049208456,0,PPC Not Found,0,http://www.thelashlounge.com/salons/sandy-springs/?provider=google,301,200,67.43.6.97,ns1.bluehost.com.,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,
Check session tracking code,20181024074531,2018-10-24 07:49:40,766,Lash Lounge,339769,The Lash Lounge - San Antonio,LIVE,http://thelashlounge.com/salons/san-antonio/,2105918951,2105918951,2105918951,2105918951,2105918951,2102656504,0,PPC Not Found,0,http://www.thelashlounge.com/salons/san-antonio/?provider=google,301,200,67.43.6.97,ns2.bluehost.com.,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,
Check session tracking code,20181024074531,2018-10-24 07:50:49,766,Lash Lounge,339772,The Lash Lounge - Flower Mound,LIVE,http://thelashlounge.com/salons/flower-mound/,9728538755,9728538755,9728538755,9728538755,9728538755,4692499818,0,PPC Not Found,0,http://www.thelashlounge.com/salons/flower-mound/?provider=google,301,200,67.43.6.97,ns1.bluehost.com.,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,
Check session tracking code,20181024074531,2018-10-24 07:51:12,766,Lash Lounge,348178,The Lash Lounge - Plano Preston Towne Crossing,LIVE,http://thelashlounge.com/salons/plano-preston-tc/,8174425274,0,8174425274,0,4692622689,4692620074,0,PPC Not Found,0,http://www.thelashlounge.com/salons/plano-preston-tc/?provider=google,301,404,67.43.6.97,ns2.bluehost.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181024074531,2018-10-24 07:45:32,766,Lash Lounge,339757,The Lash Lounge - Allen,LIVE,http://thelashlounge.com/salons/allen,2145043961,2145043961,2145043961,2145043961,2145043961,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/allen/?provider=google,301,200,67.43.6.97,ns1.bluehost.com.,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024074531,2018-10-24 07:45:56,766,Lash Lounge,339758,The Lash Lounge - Alliance,LIVE,http://thelashlounge.com/salons/alliance/,8175761187,8175761187,8175761187,8175761187,8175761187,6825931098,0,PPC Not Found,0,http://www.thelashlounge.com/salons/alliance/?provider=google,301,200,67.43.6.97,ns2.bluehost.com.,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024074531,2018-10-24 07:46:19,766,Lash Lounge,339759,The Lash Lounge - Ann Arbor,LIVE,http://thelashlounge.com/salons/ann-arbor/,7343657167,7343657167,7343657167,7343657167,7343657167,7343656348,0,PPC Not Found,0,http://www.thelashlounge.com/salons/ann-arbor/?provider=google,301,200,67.43.6.97,ns2.bluehost.com.,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181024074531,2018-10-24 07:46:42,766,Lash Lounge,339760,The Lash Lounge - Carmel,LIVE,http://thelashlounge.com/salons/carmel/,3178682217,3178682217,3178682217,3178682217,3178682217,3175604435,0,PPC Not Found,0,http://www.thelashlounge.com/salons/carmel/?provider=google,301,200,67.43.6.97,ns2.bluehost.com.,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024074531,2018-10-24 07:47:04,766,Lash Lounge,339761,The Lash Lounge - Colleyville,LIVE,http://thelashlounge.com/salons/colleyville/,8179535079,8179535079,8179535079,8179535079,6822571915,6822574010,0,PPC Not Found,0,http://www.thelashlounge.com/salons/colleyville/?provider=google,301,200,67.43.6.97,ns2.bluehost.com.,yes,yes,no,no,no,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024074531,2018-10-24 07:47:27,766,Lash Lounge,339763,The Lash Lounge - Dallas Park Cities,LIVE,http://thelashlounge.com/salons/dallas-park-cities/,8174425274,0,8174425274,0,2143800625,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/dallas-park-cities/?provider=google,301,404,67.43.6.97,ns1.bluehost.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181024074531,2018-10-24 07:47:47,766,Lash Lounge,339764,The Lash Lounge - Memorial Green,LIVE,http://thelashlounge.com/salons/memorial-green/,7135975274,7135975274,7135975274,7135975274,7138931453,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/memorial-green/?provider=google,301,200,67.43.6.97,ns1.bluehost.com.,yes,yes,no,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181024074531,2018-10-24 07:48:09,766,Lash Lounge,339765,The Lash Lounge - Sandy Springs,LIVE,http://thelashlounge.com/salons/sandy-springs/,4048573796,4048573796,4048573796,4048573796,4048573796,4049208456,0,PPC Not Found,0,http://www.thelashlounge.com/salons/sandy-springs/?provider=google,301,200,67.43.6.97,ns1.bluehost.com.,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181024074531,2018-10-24 07:48:32,766,Lash Lounge,339766,The Lash Lounge - Plano,LIVE,http://thelashlounge.com/salons/plano/,9726164205,9726164205,9726164205,9726164205,9726164205,4693310838,0,PPC Not Found,0,http://www.thelashlounge.com/salons/plano/?provider=google,301,200,67.43.6.97,ns2.bluehost.com.,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024074531,2018-10-24 07:48:54,766,Lash Lounge,339767,The Lash Lounge - Viera,LIVE,http://thelashlounge.com/salons/viera/,3219855274,3219855274,3219855274,3219855274,3213280523,3213289190,0,PPC Not Found,0,http://www.thelashlounge.com/salons/viera/?provider=google,301,200,67.43.6.97,ns2.bluehost.com.,yes,yes,no,no,no,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024074531,2018-10-24 07:49:17,766,Lash Lounge,339768,The Lash Lounge - Southlake,LIVE,http://thelashlounge.com/salons/southlake/,8175275028,8175275028,8175275028,8175275028,8175275028,6822239526,0,PPC Not Found,0,http://www.thelashlounge.com/salons/southlake/?provider=google,301,200,67.43.6.97,ns1.bluehost.com.,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024074531,2018-10-24 07:49:40,766,Lash Lounge,339769,The Lash Lounge - San Antonio,LIVE,http://thelashlounge.com/salons/san-antonio/,2105918951,2105918951,2105918951,2105918951,2105918951,2102656504,0,PPC Not Found,0,http://www.thelashlounge.com/salons/san-antonio/?provider=google,301,200,67.43.6.97,ns2.bluehost.com.,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181024074531,2018-10-24 07:50:02,766,Lash Lounge,339770,The Lash Lounge - Odessa,LIVE,http://thelashlounge.com/salons/odessa/,4322351010,4322351010,4322351010,4322351010,4322351010,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/odessa/?provider=google,301,200,67.43.6.97,ns2.bluehost.com.,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024074531,2018-10-24 07:50:25,766,Lash Lounge,339771,The Lash Lounge - Lubbock,LIVE,http://thelashlounge.com/salons/lubbock/,8063706647,8063706647,8063706647,8063706647,8063706647,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/lubbock/?provider=google,301,200,67.43.6.97,ns1.bluehost.com.,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024074531,2018-10-24 07:50:49,766,Lash Lounge,339772,The Lash Lounge - Flower Mound,LIVE,http://thelashlounge.com/salons/flower-mound/,9728538755,9728538755,9728538755,9728538755,9728538755,4692499818,0,PPC Not Found,0,http://www.thelashlounge.com/salons/flower-mound/?provider=google,301,200,67.43.6.97,ns1.bluehost.com.,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181024074531,2018-10-24 07:51:12,766,Lash Lounge,348178,The Lash Lounge - Plano Preston Towne Crossing,LIVE,http://thelashlounge.com/salons/plano-preston-tc/,8174425274,0,8174425274,0,4692622689,4692620074,0,PPC Not Found,0,http://www.thelashlounge.com/salons/plano-preston-tc/?provider=google,301,404,67.43.6.97,ns2.bluehost.com.,yes,no,no,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181024074531,2018-10-24 07:51:32,766,Lash Lounge,348778,The Lash Lounge - Coppell,LIVE,http://thelashlounge.com/salons/coppell,8179685274,8179685274,8179685274,8179685274,6822140073,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/coppell/?provider=google,301,200,67.43.6.97,ns1.bluehost.com.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024074531,2018-10-24 07:51:56,766,Lash Lounge,349759,The Lash Lounge - Overland Park,LIVE,http://thelashlounge.com/salons/overland-park/,9132700710,9132700710,9132700710,9132700710,9132130453,No DB Paid Number,0,PPC Not Found,0,http://www.thelashlounge.com/salons/overland-park/?provider=google,301,200,67.43.6.97,ns2.bluehost.com.,yes,yes,no,no,no,no,no,yes,yes,no,no,no,
