Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
Check if SSL is enabled,20181024082936,2018-10-24 08:30:43,114,Ben Franklin,54985,Ben Franklin Plumbing of Virginia Beach VA,LIVE,http://benfranklinplumbingvabeach.com,7573356296,7573356296,7577423911,7577423911,7573356296,7577423911,0,PPC Not Found,1,http://www.benfranklinplumbingvabeach.com/?provider=google,301,200,205.178.153.6,dns2.cscdns.net.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024082936,2018-10-24 08:31:02,114,Ben Franklin,57606,Ben Franklin Plumbing of Moultonborough NH,LIVE,http://benfranklinplumbingconcord.com,6033478270,6033478270,6033478270,6033478270,6033478270,No DB Paid Number,0,PPC Not Found,1,http://www.benfranklinplumbingconcord.com/?provider=google,301,200,205.178.153.6,dns2.cscdns.net.,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024082936,2018-10-24 08:31:21,114,Ben Franklin,60057,Ben Franklin Plumbing of North Branch MN,LIVE,http://mybenfranklinplumbing.com,6514475891,6514475891,6513476530,6513476530,6514475891,6513476530,0,PPC Not Found,1,http://www.mybenfranklinplumbing.com/?provider=google,301,200,205.178.153.6,ns65.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024082936,2018-10-24 08:31:40,114,Ben Franklin,91491,Ben Franklin Plumbing of Ames IA,LIVE,http://benfranklinplumbingames.com,5152033232,5152033232,5152033215,5152033215,5152033232,5152033215,0,PPC Not Found,0,http://www.benfranklinplumbingames.com/?provider=google,301,200,205.178.153.6,dns2.cscdns.net.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024082936,2018-10-24 08:31:59,114,Ben Franklin,104247,Ben Franklin Plumbing of Laguna Hills CA,LIVE,http://ocbenfranklinplumbing.com,9494822003,9494822003,9494822003,9494822003,9494822003,No DB Paid Number,0,PPC Not Found,1,http://www.ocbenfranklinplumbing.com/?provider=google,301,200,205.178.153.6,ns01.domaincontrol.com.,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024082936,2018-10-24 08:32:18,114,Ben Franklin,108795,Ben Franklin Plumbing of Bloomington IL,LIVE,http://benfranklinbloomington.com,3093061933,3093061933,3093061933,3093061933,3093061933,No DB Paid Number,0,PPC Not Found,1,http://www.benfranklinbloomington.com/?provider=google,301,200,205.178.153.6,dns2.cscdns.net.,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024082936,2018-10-24 08:32:37,114,Ben Franklin,169941,Ben Franklin Plumbing of Greenwood SC,LIVE,http://benfranklinplumbinggreenwood.com,8645384615,8645384615,8645384680,8645384680,8645384615,8645384680,0,PPC Not Found,1,http://www.benfranklinplumbinggreenwood.com/?provider=google,301,200,205.178.153.6,dns2.cscdns.net.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024082936,2018-10-24 08:33:18,114,Ben Franklin,188229,Ben Franklin Plumbing of Dillon CO,LIVE,http://benfranklindillon.com,9703682421,9703682421,9703682078,9703682078,9703682421,9703682078,0,PPC Not Found,1,http://www.benfranklindillon.com/?provider=google,301,200,205.178.153.6,dns2.cscdns.net.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024082936,2018-10-24 08:33:37,114,Ben Franklin,251988,Ben Franklin Plumbing of Oak Hall VA,LIVE,http://benfranklinplumbingeasternshore.com,8884875359,8884875359,8886193857,8886193857,8884875359,8886193857,0,PPC Not Found,0,http://www.benfranklinplumbingeasternshore.com/?provider=google,301,200,205.178.153.6,dns2.cscdns.net.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024082936,2018-10-24 08:33:56,114,Ben Franklin,302886,Ben Franklin Plumbing of High bridge NJ,LIVE,http://benfranklinonmain.com,8883927093,8883927093,8887322695,8887322695,8883927093,8887322695,0,PPC Not Found,1,http://www.benfranklinonmain.com/?provider=google,301,200,205.178.153.6,dns2.cscdns.net.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
