Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
Check unpaid desktop CTN,20181024075222,2018-10-24 07:54:05,768,Tailored Living,342704,Tailored Living - AB206 - westedmonton,LIVE,http://tailoredliving-westedmonton.com,7804444495,7804444495,7806517016,7806517016,7808093330,7806517016,1,PPC Not Found,0,http://www.tailoredliving-westedmonton.com/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check unpaid desktop CTN,20181024075222,2018-10-24 07:55:27,768,Tailored Living,354894,Tailored Living - 504NJ201 - Princeton,LIVE,http://tailoredliving-princeton.com,6094884197,6094884197,6092567318,6092567318,No DB Unpaid Number,6092567318,false,PPC Not Found,2,https://www.tailoredliving-princeton.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181024075222,2018-10-24 07:55:48,768,Tailored Living,354903,Tailored Living - 501NJ210 - Monmouth,LIVE,http://tailoredliving-monmouth.com,6092975452,6092975452,6093580347,6093580347,No DB Unpaid Number,6093580347,false,PPC Not Found,2,https://www.tailoredliving-monmouth.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181024075222,2018-10-24 07:56:09,768,Tailored Living,356659,Tailored Living - Woodlands (618TX211),LIVE,http://tailoredliving-woodlands.com,3468004928,3468004928,3468004596,3468004596,No DB Unpaid Number,3468004596,false,PPC Not Found,2,https://www.tailoredliving-woodlands.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181024075222,2018-10-24 07:56:30,768,Tailored Living,356665,Tailored Living - Tomball (618TX212),LIVE,http://tailoredliving-tomball.com,8325005353,8325005353,3468004898,3468004898,No DB Unpaid Number,3468004898,false,PPC Not Found,2,https://www.tailoredliving-tomball.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181024075222,2018-10-24 07:57:14,768,Tailored Living,357973,Tailored Living - 527IN210 - IndySouth,LIVE,http://tailoredliving-indysouth.com,3179781222,3179781222,3176699839,3176699839,No DB Unpaid Number,3176699839,false,PPC Not Found,2,https://www.tailoredliving-indysouth.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181024075222,2018-10-24 07:52:23,768,Tailored Living,339686,Tailored Living - 682IL203 - Quadcities,LIVE,http://tailoredliving-quadcities.com,3099485296,3099485296,3094296978,3094296978,No DB Unpaid Number,3094296978,false,PPC Not Found,2,https://www.tailoredliving-quadcities.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181024075222,2018-10-24 07:53:27,768,Tailored Living,340811,Tailored Living Corporate Shell,LIVE,http://None,0,0,0,0,No DB Unpaid Number,No DB Paid Number,false,PPC Not Found,None,http://none/?provider=google,0,0,0,0,no,no,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181024075222,2018-10-24 07:54:05,768,Tailored Living,342704,Tailored Living - AB206 - westedmonton,LIVE,http://tailoredliving-westedmonton.com,7804444495,7804444495,7806517016,7806517016,7808093330,7806517016,1,PPC Not Found,0,http://www.tailoredliving-westedmonton.com/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check unpaid mobile CTN,20181024075222,2018-10-24 07:55:27,768,Tailored Living,354894,Tailored Living - 504NJ201 - Princeton,LIVE,http://tailoredliving-princeton.com,6094884197,6094884197,6092567318,6092567318,No DB Unpaid Number,6092567318,false,PPC Not Found,2,https://www.tailoredliving-princeton.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181024075222,2018-10-24 07:55:48,768,Tailored Living,354903,Tailored Living - 501NJ210 - Monmouth,LIVE,http://tailoredliving-monmouth.com,6092975452,6092975452,6093580347,6093580347,No DB Unpaid Number,6093580347,false,PPC Not Found,2,https://www.tailoredliving-monmouth.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181024075222,2018-10-24 07:56:09,768,Tailored Living,356659,Tailored Living - Woodlands (618TX211),LIVE,http://tailoredliving-woodlands.com,3468004928,3468004928,3468004596,3468004596,No DB Unpaid Number,3468004596,false,PPC Not Found,2,https://www.tailoredliving-woodlands.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181024075222,2018-10-24 07:56:30,768,Tailored Living,356665,Tailored Living - Tomball (618TX212),LIVE,http://tailoredliving-tomball.com,8325005353,8325005353,3468004898,3468004898,No DB Unpaid Number,3468004898,false,PPC Not Found,2,https://www.tailoredliving-tomball.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181024075222,2018-10-24 07:57:14,768,Tailored Living,357973,Tailored Living - 527IN210 - IndySouth,LIVE,http://tailoredliving-indysouth.com,3179781222,3179781222,3176699839,3176699839,No DB Unpaid Number,3176699839,false,PPC Not Found,2,https://www.tailoredliving-indysouth.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,
Check session tracking code,20181024075222,2018-10-24 07:53:27,768,Tailored Living,340811,Tailored Living Corporate Shell,LIVE,http://None,0,0,0,0,No DB Unpaid Number,No DB Paid Number,false,PPC Not Found,None,http://none/?provider=google,0,0,0,0,no,no,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181024075222,2018-10-24 07:53:27,768,Tailored Living,340811,Tailored Living Corporate Shell,LIVE,http://None,0,0,0,0,No DB Unpaid Number,No DB Paid Number,false,PPC Not Found,None,http://none/?provider=google,0,0,0,0,no,no,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181024075222,2018-10-24 07:53:45,768,Tailored Living,342687,Tailored Living - ON217 - torontoeast,LIVE,http://tailoredliving-toronto.com,4169074740,4169074740,4168003159,4168003159,4169074740,4168003159,0,PPC Not Found,0,http://www.tailoredliving-toronto.com/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Check if SSL is enabled,20181024075222,2018-10-24 07:54:05,768,Tailored Living,342704,Tailored Living - AB206 - westedmonton,LIVE,http://tailoredliving-westedmonton.com,7804444495,7804444495,7806517016,7806517016,7808093330,7806517016,1,PPC Not Found,0,http://www.tailoredliving-westedmonton.com/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check if SSL is enabled,20181024075222,2018-10-24 07:54:25,768,Tailored Living,342705,Tailored Living - AB205 - eastedmonton,LIVE,http://tailoredliving-eastedmonton.com,8885274984,8885274984,7808519256,7808519256,8885274984,7808519256,0,PPC Not Found,0,http://www.tailoredliving-eastedmonton.com/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Check if SSL is enabled,20181024075222,2018-10-24 07:58:16,768,Tailored Living,366475,Tailored Living - 839NV201 - Henderson and North Las Vegas,LIVE,http://tailoredliving-northlasvegas.com,7759904343,7759904343,7754192303,7754192303,7759904343,7754192303,0,PPC Not Found,0,http://www.tailoredliving-northlasvegas.com/?provider=google,301,200,205.178.153.7,ns3b.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024075222,2018-10-24 07:53:45,768,Tailored Living,342687,Tailored Living - ON217 - torontoeast,LIVE,http://tailoredliving-toronto.com,4169074740,4169074740,4168003159,4168003159,4169074740,4168003159,0,PPC Not Found,0,http://www.tailoredliving-toronto.com/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024075222,2018-10-24 07:54:05,768,Tailored Living,342704,Tailored Living - AB206 - westedmonton,LIVE,http://tailoredliving-westedmonton.com,7804444495,7804444495,7806517016,7806517016,7808093330,7806517016,1,PPC Not Found,0,http://www.tailoredliving-westedmonton.com/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024075222,2018-10-24 07:54:25,768,Tailored Living,342705,Tailored Living - AB205 - eastedmonton,LIVE,http://tailoredliving-eastedmonton.com,8885274984,8885274984,7808519256,7808519256,8885274984,7808519256,0,PPC Not Found,0,http://www.tailoredliving-eastedmonton.com/?provider=google,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024075222,2018-10-24 07:58:16,768,Tailored Living,366475,Tailored Living - 839NV201 - Henderson and North Las Vegas,LIVE,http://tailoredliving-northlasvegas.com,7759904343,7759904343,7754192303,7754192303,7759904343,7754192303,0,PPC Not Found,0,http://www.tailoredliving-northlasvegas.com/?provider=google,301,200,205.178.153.7,ns3b.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
