Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024002734,2018-10-24 00:47:23,616,ProSource,306432,ProSource of Newport News (16181510),LIVE,http://prosourcenewportnews.com,7572767011,7572767011,7572767011,7572767011,7575259746,7572693261,0,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/va-prosource-of-newport-news?provider=google,301,200,40.85.247.131,pdns09.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024002734,2018-10-24 00:47:48,616,ProSource,306433,ProSource of Charlotte (15976518),LIVE,http://prosourceofcharlotte.com,7042753536,7042753536,7042753536,7042753536,7047297847,7045339296,0,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/nc-prosource-of-charlotte?provider=google,301,200,40.85.247.131,pdns09.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
All Errors,20181024002734,2018-10-24 00:48:16,616,ProSource,306434,ProSource of Raleigh (15976646),LIVE,http://prosourceofraleigh.com,9193466774,9193466774,9193466774,9193466774,9195789962,9195789930,0,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/nc-prosource-of-raleigh?provider=google,301,200,40.85.247.131,pdns09.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181024002734,2018-10-24 00:27:35,616,ProSource,306385,ProSource of Bloomington (16181547),LIVE,http://prosourceofbloomington.com,8122691167,8122691167,8122691167,8122691167,9526417565,9523141669,0,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/mn-prosource-of-bloomington?provider=google,301,200,40.85.247.131,pdns09.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181024002734,2018-10-24 00:28:04,616,ProSource,306386,ProSource of Plymouth (15976321),LIVE,http://prosourceofplymouth.com,7632204329,7632204329,7632204329,7632204329,7635150201,7632501482,0,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/mn-prosource-of-plymouth?provider=google,301,200,40.85.247.131,pdns09.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181024002734,2018-10-24 00:28:51,616,ProSource,306388,ProSource of Clear Lake (16074570),LIVE,http://prosourceofclearlake.com,2813100566,2813100566,2813100566,2813100566,2814077408,2815576272,0,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/tx-prosource-of-clear-lake?provider=google,301,200,40.85.247.131,pdns09.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181024002734,2018-10-24 00:29:18,616,ProSource,306389,ProSource of Northwest Houston (16115801),LIVE,http://prosourceofnorthwesthouston.com,2818493248,2818493248,2818493248,2818493248,7134892389,7133640865,0,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/tx-prosource-of-northwest-houston?provider=google,301,200,40.85.247.131,pdns09.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181024002734,2018-10-24 00:29:44,616,ProSource,306390,ProSource of Sugar Land (16181432),LIVE,http://prosourceofsugarland.com,2813100550,2813100550,2813100550,2813100550,2818498889,2812011469,0,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/tx-prosource-of-sugarland?provider=google,301,200,40.85.247.131,pdns09.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181024002734,2018-10-24 00:30:08,616,ProSource,306391,ProSource of The Woodlands (16116086),LIVE,http://prosourceofthewoodlands.com,2813100546,2813100546,2813100546,2813100546,2814078506,2815284855,0,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/tx-prosource-of-the-woodlands?provider=google,301,200,40.85.247.131,pdns09.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181024002734,2018-10-24 00:30:34,616,ProSource,306392,ProSource of Katy (16074647),LIVE,http://prosourceofkaty.com,2817860120,2817860120,2817860120,2817860120,7135683275,7135683093,0,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/tx-prosource-of-katy?provider=google,301,200,40.85.247.131,pdns09.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181024002734,2018-10-24 00:30:58,616,ProSource,306393,ProSource of Akron (15977002),LIVE,http://prosourceofakron.com,3302383575,3302383575,3302383575,3302383575,3305527684,3304749926,0,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/oh-prosource-of-akron?provider=google,301,200,40.85.247.131,pdns09.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181024002734,2018-10-24 00:31:22,616,ProSource,306394,ProSource of Canton (15907974),LIVE,http://prosourceofcanton.com,3302383868,3302383868,3302383868,3302383868,3309741507,3306237623,0,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/oh-prosource-of-canton?provider=google,301,200,40.85.247.131,pdns09.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181024002734,2018-10-24 00:31:47,616,ProSource,306395,ProSource of Albany (16076921),LIVE,http://prosourcealbany.com,5182198343,5182198343,5182198343,5182198343,5186501145,5184172602,0,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/ny-prosource-of-albany?provider=google,301,200,40.85.247.131,pdns09.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181024002734,2018-10-24 00:32:13,616,ProSource,306396,ProSource of Buffalo (16077004),LIVE,http://prosourceofbuffalo.com,7162191543,7162191543,7162191543,7162191543,7163910901,7163910550,0,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/ny-prosource-of-buffalo?provider=google,301,200,40.85.247.131,pdns09.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181024002734,2018-10-24 00:32:37,616,ProSource,306397,ProSource of Springfield (16077085),LIVE,http://prosourceofspringfield.com,4132132906,4132132906,4132132906,4132132906,4136932501,4132738143,0,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/ma-prosource-of-springfield?provider=google,301,200,40.85.247.131,pdns09.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181024002734,2018-10-24 00:33:01,616,ProSource,306398,ProSource of Albuquerque (15863847),LIVE,http://prosourceofalbuquerque.com,5052268175,5052268175,5052268175,5052268175,5052739504,5052258055,0,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/nm-prosource-of-albuquerque?provider=google,301,200,40.85.247.131,pdns09.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
