Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181023193622,2018-10-23 19:54:25,203,Johnson Controls - Liberties Dealers,93954,Chamberlin Heating & Air Conditioning,LIVE,http://chamberlinhvac.com,5632631941,5632631941,5632631941,5632631941,5634845131,No DB Paid Number,1,PPC Not Found,2,https://www.chamberlinhvac.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
All Errors,20181023193622,2018-10-23 19:55:05,203,Johnson Controls - Liberties Dealers,94006,Peatson's Heating & Air Conditioning Ltd,LIVE,http://peatsonsheatair.com,9054516704,9054516704,9054516704,9054516704,8889145543,No DB Paid Number,1,PPC Not Found,2,https://www.peatsonsheatair.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181023193622,2018-10-23 19:38:08,203,Johnson Controls - Liberties Dealers,89132,Wilson Heating Inc.,LIVE,http://wilsonheatinginc.com,0,0,0,0,7405380276,No DB Paid Number,0,PPC Not Found,2,https://www.wilsonheatinginc.com/?provider=google,301,200,208.43.88.227,dns4.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid desktop CTN,20181023193622,2018-10-23 19:39:32,203,Johnson Controls - Liberties Dealers,89736,A & E HVAC Solutions,LIVE,http://aehvacsolutions.info,4039958005,4039958005,4039958005,4039958005,4038791815,No DB Paid Number,1,PPC Not Found,2,https://aehvacsolutions.info/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181023193622,2018-10-23 19:40:12,203,Johnson Controls - Liberties Dealers,90331,Tempco Heating & Cooling Specialists,LIVE,http://tempcohvac.com,6044855352,6044855352,6044855352,6044855352,8886165965,No DB Paid Number,1,PPC Not Found,1,http://www.tempcohvac.com/?provider=google,301,200,205.178.153.7,ns3.meganameservers.com.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
Check unpaid desktop CTN,20181023193622,2018-10-23 19:40:32,203,Johnson Controls - Liberties Dealers,90402,Tradesman Heating and Air,LIVE,http://hvacservicewinnipeg.com,2048882020,2048882020,2048882020,2048882020,8889261291,No DB Paid Number,1,PPC Not Found,2,https://hvacservicewinnipeg.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181023193622,2018-10-23 19:46:11,203,Johnson Controls - Liberties Dealers,91888,Air Temp Heating And Cooling Specialist,LIVE,http://airtempspecialists.com,2507070381,2507070381,2507070381,2507070381,8888517857,No DB Paid Number,1,PPC Not Found,2,https://www.airtempspecialists.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181023193622,2018-10-23 19:46:52,203,Johnson Controls - Liberties Dealers,91908,Kerschner's Gas Service Inc,LIVE,http://kerschnersgasservice.com,7152282570,7152282570,7152282570,7152282570,9204474101,No DB Paid Number,1,PPC Not Found,2,https://www.kerschnersgasservice.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181023193622,2018-10-23 19:47:13,203,Johnson Controls - Liberties Dealers,91995,Pacific Plumbing And Heating,LIVE,http://pacificplumbingandheatinghvac.com,2507465259,2507465259,2507465259,2507465259,8885580440,No DB Paid Number,1,PPC Not Found,2,https://www.pacificplumbingandheatinghvac.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181023193622,2018-10-23 19:47:54,203,Johnson Controls - Liberties Dealers,92304,Guenther,LIVE,http://guenthershvac.com,9056846214,9056846214,9056846214,9056846214,8888517114,No DB Paid Number,1,PPC Not Found,2,https://www.guenthershvac.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181023193622,2018-10-23 19:48:35,203,Johnson Controls - Liberties Dealers,92426,Comox Valley Refrigeration and AC Ltd,LIVE,http://comoxvalleyrefrigeration.com,2503389855,2503389855,2503389855,2503389855,8885467129,No DB Paid Number,1,PPC Not Found,2,https://www.comoxvalleyrefrigeration.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181023193622,2018-10-23 19:48:56,203,Johnson Controls - Liberties Dealers,92504,Mid-City Heating and Cooling Inc.,LIVE,http://midcityheatingcooling.com,6302894328,6302894328,6302894328,6302894328,6303322354,No DB Paid Number,1,PPC Not Found,2,https://midcityheatingcooling.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181023193622,2018-10-23 19:50:38,203,Johnson Controls - Liberties Dealers,92827,Castle Plumbing & Heating Ltd.,LIVE,http://castleplumbingheating.com,7056718014,7056718014,7056718014,7056718014,7058811589,No DB Paid Number,1,PPC Not Found,2,https://www.castleplumbingheating.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181023193622,2018-10-23 19:50:59,203,Johnson Controls - Liberties Dealers,93125,Jones Electric Contractor Inc.,LIVE,http://joneselectric.info,4347293231,4347293231,4347293231,4347293231,4344804124,No DB Paid Number,1,PPC Not Found,2,https://www.joneselectric.info/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181023193622,2018-10-23 19:52:01,203,Johnson Controls - Liberties Dealers,93331,Climate Solutions Inc.,LIVE,http://gillettehvacservice.com,3076854769,3076854769,3076854769,3076854769,3073529950,No DB Paid Number,1,PPC Not Found,2,https://www.gillettehvacservice.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181023193622,2018-10-23 19:53:04,203,Johnson Controls - Liberties Dealers,93523,Green's Air Conditioning & Comm. Ref.,LIVE,http://greensair.com,2292285700,2292285700,2292285700,2292285700,2295154431,No DB Paid Number,1,PPC Not Found,2,https://greensair.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181023193622,2018-10-23 19:54:25,203,Johnson Controls - Liberties Dealers,93954,Chamberlin Heating & Air Conditioning,LIVE,http://chamberlinhvac.com,5632631941,5632631941,5632631941,5632631941,5634845131,No DB Paid Number,1,PPC Not Found,2,https://www.chamberlinhvac.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid desktop CTN,20181023193622,2018-10-23 19:55:05,203,Johnson Controls - Liberties Dealers,94006,Peatson's Heating & Air Conditioning Ltd,LIVE,http://peatsonsheatair.com,9054516704,9054516704,9054516704,9054516704,8889145543,No DB Paid Number,1,PPC Not Found,2,https://www.peatsonsheatair.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181023193622,2018-10-23 19:38:08,203,Johnson Controls - Liberties Dealers,89132,Wilson Heating Inc.,LIVE,http://wilsonheatinginc.com,0,0,0,0,7405380276,No DB Paid Number,0,PPC Not Found,2,https://www.wilsonheatinginc.com/?provider=google,301,200,208.43.88.227,dns4.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check unpaid mobile CTN,20181023193622,2018-10-23 19:39:32,203,Johnson Controls - Liberties Dealers,89736,A & E HVAC Solutions,LIVE,http://aehvacsolutions.info,4039958005,4039958005,4039958005,4039958005,4038791815,No DB Paid Number,1,PPC Not Found,2,https://aehvacsolutions.info/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181023193622,2018-10-23 19:40:12,203,Johnson Controls - Liberties Dealers,90331,Tempco Heating & Cooling Specialists,LIVE,http://tempcohvac.com,6044855352,6044855352,6044855352,6044855352,8886165965,No DB Paid Number,1,PPC Not Found,1,http://www.tempcohvac.com/?provider=google,301,200,205.178.153.7,ns3.meganameservers.com.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
Check unpaid mobile CTN,20181023193622,2018-10-23 19:40:32,203,Johnson Controls - Liberties Dealers,90402,Tradesman Heating and Air,LIVE,http://hvacservicewinnipeg.com,2048882020,2048882020,2048882020,2048882020,8889261291,No DB Paid Number,1,PPC Not Found,2,https://hvacservicewinnipeg.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181023193622,2018-10-23 19:46:11,203,Johnson Controls - Liberties Dealers,91888,Air Temp Heating And Cooling Specialist,LIVE,http://airtempspecialists.com,2507070381,2507070381,2507070381,2507070381,8888517857,No DB Paid Number,1,PPC Not Found,2,https://www.airtempspecialists.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181023193622,2018-10-23 19:46:52,203,Johnson Controls - Liberties Dealers,91908,Kerschner's Gas Service Inc,LIVE,http://kerschnersgasservice.com,7152282570,7152282570,7152282570,7152282570,9204474101,No DB Paid Number,1,PPC Not Found,2,https://www.kerschnersgasservice.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181023193622,2018-10-23 19:47:13,203,Johnson Controls - Liberties Dealers,91995,Pacific Plumbing And Heating,LIVE,http://pacificplumbingandheatinghvac.com,2507465259,2507465259,2507465259,2507465259,8885580440,No DB Paid Number,1,PPC Not Found,2,https://www.pacificplumbingandheatinghvac.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181023193622,2018-10-23 19:47:54,203,Johnson Controls - Liberties Dealers,92304,Guenther,LIVE,http://guenthershvac.com,9056846214,9056846214,9056846214,9056846214,8888517114,No DB Paid Number,1,PPC Not Found,2,https://www.guenthershvac.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181023193622,2018-10-23 19:48:35,203,Johnson Controls - Liberties Dealers,92426,Comox Valley Refrigeration and AC Ltd,LIVE,http://comoxvalleyrefrigeration.com,2503389855,2503389855,2503389855,2503389855,8885467129,No DB Paid Number,1,PPC Not Found,2,https://www.comoxvalleyrefrigeration.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181023193622,2018-10-23 19:48:56,203,Johnson Controls - Liberties Dealers,92504,Mid-City Heating and Cooling Inc.,LIVE,http://midcityheatingcooling.com,6302894328,6302894328,6302894328,6302894328,6303322354,No DB Paid Number,1,PPC Not Found,2,https://midcityheatingcooling.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181023193622,2018-10-23 19:50:38,203,Johnson Controls - Liberties Dealers,92827,Castle Plumbing & Heating Ltd.,LIVE,http://castleplumbingheating.com,7056718014,7056718014,7056718014,7056718014,7058811589,No DB Paid Number,1,PPC Not Found,2,https://www.castleplumbingheating.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181023193622,2018-10-23 19:50:59,203,Johnson Controls - Liberties Dealers,93125,Jones Electric Contractor Inc.,LIVE,http://joneselectric.info,4347293231,4347293231,4347293231,4347293231,4344804124,No DB Paid Number,1,PPC Not Found,2,https://www.joneselectric.info/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181023193622,2018-10-23 19:52:01,203,Johnson Controls - Liberties Dealers,93331,Climate Solutions Inc.,LIVE,http://gillettehvacservice.com,3076854769,3076854769,3076854769,3076854769,3073529950,No DB Paid Number,1,PPC Not Found,2,https://www.gillettehvacservice.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181023193622,2018-10-23 19:53:04,203,Johnson Controls - Liberties Dealers,93523,Green's Air Conditioning & Comm. Ref.,LIVE,http://greensair.com,2292285700,2292285700,2292285700,2292285700,2295154431,No DB Paid Number,1,PPC Not Found,2,https://greensair.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181023193622,2018-10-23 19:54:25,203,Johnson Controls - Liberties Dealers,93954,Chamberlin Heating & Air Conditioning,LIVE,http://chamberlinhvac.com,5632631941,5632631941,5632631941,5632631941,5634845131,No DB Paid Number,1,PPC Not Found,2,https://www.chamberlinhvac.com/?provider=google,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181023193622,2018-10-23 19:55:05,203,Johnson Controls - Liberties Dealers,94006,Peatson's Heating & Air Conditioning Ltd,LIVE,http://peatsonsheatair.com,9054516704,9054516704,9054516704,9054516704,8889145543,No DB Paid Number,1,PPC Not Found,2,https://www.peatsonsheatair.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,
Check session tracking code,20181023193622,2018-10-23 19:38:08,203,Johnson Controls - Liberties Dealers,89132,Wilson Heating Inc.,LIVE,http://wilsonheatinginc.com,0,0,0,0,7405380276,No DB Paid Number,0,PPC Not Found,2,https://www.wilsonheatinginc.com/?provider=google,301,200,208.43.88.227,dns4.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check if SSL is enabled,20181023193622,2018-10-23 19:40:12,203,Johnson Controls - Liberties Dealers,90331,Tempco Heating & Cooling Specialists,LIVE,http://tempcohvac.com,6044855352,6044855352,6044855352,6044855352,8886165965,No DB Paid Number,1,PPC Not Found,1,http://www.tempcohvac.com/?provider=google,301,200,205.178.153.7,ns3.meganameservers.com.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
