Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
Check unpaid desktop CTN,20181024053402,2018-10-24 05:36:07,270,ServiceMaster Clean,17616,Servicemaster Clean Specialists # 1723 OR,LIVE,http://svmcleaningspecialists.com,5413880824,5413880824,5413880824,5413880824,5412919509,No DB Paid Number,0,PPC Not Found,0,http://www.svmcleaningspecialists.com/?provider=google,301,200,50.63.119.1,ns19.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181024053402,2018-10-24 05:38:23,270,ServiceMaster Clean,34054,ServiceMaster of Sparkle City,LIVE,http://smsparklecity.com,8642364344,8642364344,8642144885,8642144885,8644088638,No DB Paid Number,0,PPC Not Found,0,http://www.servicemasterupstate.com/?provider=google,301,200,205.178.153.6,dns4.name-services.com.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
Check unpaid mobile CTN,20181024053402,2018-10-24 05:36:07,270,ServiceMaster Clean,17616,Servicemaster Clean Specialists # 1723 OR,LIVE,http://svmcleaningspecialists.com,5413880824,5413880824,5413880824,5413880824,5412919509,No DB Paid Number,0,PPC Not Found,0,http://www.svmcleaningspecialists.com/?provider=google,301,200,50.63.119.1,ns19.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181024053402,2018-10-24 05:38:23,270,ServiceMaster Clean,34054,ServiceMaster of Sparkle City,LIVE,http://smsparklecity.com,8642364344,8642364344,8642144885,8642144885,8644088638,No DB Paid Number,0,PPC Not Found,0,http://www.servicemasterupstate.com/?provider=google,301,200,205.178.153.6,dns4.name-services.com.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
Check session tracking code,20181024053402,2018-10-24 05:36:07,270,ServiceMaster Clean,17616,Servicemaster Clean Specialists # 1723 OR,LIVE,http://svmcleaningspecialists.com,5413880824,5413880824,5413880824,5413880824,5412919509,No DB Paid Number,0,PPC Not Found,0,http://www.svmcleaningspecialists.com/?provider=google,301,200,50.63.119.1,ns19.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181024053402,2018-10-24 05:36:07,270,ServiceMaster Clean,17616,Servicemaster Clean Specialists # 1723 OR,LIVE,http://svmcleaningspecialists.com,5413880824,5413880824,5413880824,5413880824,5412919509,No DB Paid Number,0,PPC Not Found,0,http://www.svmcleaningspecialists.com/?provider=google,301,200,50.63.119.1,ns19.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181024053402,2018-10-24 05:38:05,270,ServiceMaster Clean,33733,Servicemaster of the Berkshires,LIVE,http://servicemasteroftheberkshires.com,4137285293,4137285293,4132484200,4132484200,4137285293,4132484200,0,PPC Not Found,0,http://www.servicemasteroftheberkshires.com/?provider=google,301,200,205.178.153.6,ns53.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024053402,2018-10-24 05:38:23,270,ServiceMaster Clean,34054,ServiceMaster of Sparkle City,LIVE,http://smsparklecity.com,8642364344,8642364344,8642144885,8642144885,8644088638,No DB Paid Number,0,PPC Not Found,0,http://www.servicemasterupstate.com/?provider=google,301,200,205.178.153.6,dns4.name-services.com.,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,
Check if SSL is enabled,20181024053402,2018-10-24 05:39:23,270,ServiceMaster Clean,115488,ServiceMaster of Ann Arbor,LIVE,http://servicemasterexcellence.com,7342376962,7342376962,7347148254,7347148254,7342376962,7347148254,0,PPC Not Found,0,http://www.servicemasterexcellence.com/?provider=google,301,200,205.178.153.6,ns63.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024053402,2018-10-24 05:40:03,270,ServiceMaster Clean,222897,ServiceMaster of the Upstate,LIVE,http://servicemasterupstate.com,8642364344,8642364344,8642144885,8642144885,8642364344,8642144885,0,PPC Not Found,0,http://www.servicemasterupstate.com/?provider=google,301,200,205.178.153.6,dns2.name-services.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024053402,2018-10-24 05:40:22,270,ServiceMaster Clean,246273,ServiceMaster of Darien-New Canaan CT,LIVE,http://servicemasterofdarien-newcanaan.com,2034396346,2034396346,2034396468,2034396468,2034396346,2034396468,0,PPC Not Found,0,http://www.servicemasterofdarien-newcanaan.com/?provider=google,301,200,205.178.153.6,ns1.mdnsservice.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024053402,2018-10-24 05:40:42,270,ServiceMaster Clean,267994,ServiceMaster Commercial and Residential Cleaning Services,LIVE,http://cleanmyfacility.com,7206441798,7206441798,7202799130,7202799130,7206441798,7202799130,0,PPC Not Found,0,http://www.cleanmyfacility.com/?provider=google,301,200,205.178.153.6,ns05.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024053402,2018-10-24 05:41:23,270,ServiceMaster Clean,296206,ServiceMaster Restoration by Elite,LIVE,http://sacramentocadamagerepair.com,9162459727,9162459727,9164695934,9164695934,9162459727,9164695934,0,PPC Not Found,0,http://www.sacramentocadamagerepair.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Check if SSL is enabled,20181024053402,2018-10-24 05:42:01,270,ServiceMaster Clean,320138,ServiceMaster Restoration of Fresno (Amireh),LIVE,http://svmadvanced.com,5597084520,5597084520,5592481168,5592481168,5597084520,5592481168,0,PPC Not Found,0,http://www.svmadvanced.com/?provider=google,301,200,205.178.153.6,ns57.domaincontrol.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024053402,2018-10-24 05:49:45,270,ServiceMaster Clean,331669,ServiceMaster by Best,LIVE,http://smbybest.com,3164695280,3164695280,3162478465,3162478465,3164695280,3162478465,0,PPC Not Found,0,http://smbybest.com/?provider=google,200,200,205.178.153.6,ns73.worldnic.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,
Check if SSL is enabled,20181024053402,2018-10-24 05:51:05,270,ServiceMaster Clean,363779,ServiceMaster Restoration and Mitigation by Kennedy,LIVE,http://smrestorationmitigation.com,2253328396,2253328396,2253088290,2253088290,2253328396,2253088290,0,PPC Not Found,0,http://www.smrestorationmitigation.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Check if SSL is enabled,20181024053402,2018-10-24 05:51:24,270,ServiceMaster Clean,364788,ServiceMaster Of South Shore Inc - Scituate MA 2,LIVE,http://servicemasterofsouthshore.com,8885068574,8885068574,8004161139,8004161139,8885068574,8004161139,0,PPC Not Found,0,http://www.servicemasterofsouthshore.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Check if SSL is enabled,20181024053402,2018-10-24 05:51:43,270,ServiceMaster Clean,365358,ServiceMaster Restoration by McCoy,LIVE,http://servicemastermccoy.com,8887371898,8887371898,8885965122,8885965122,8887371898,8885965122,0,PPC Not Found,0,http://www.servicemastermccoy.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Check if SSL is enabled,20181024053402,2018-10-24 05:52:02,270,ServiceMaster Clean,366114,ServiceMaster by Kleidosty,LIVE,http://servicemasterofhawaii.com,8882606578,8882606578,8883790684,8883790684,8882606578,8883790684,0,PPC Not Found,0,http://www.servicemasterofhawaii.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024053402,2018-10-24 05:41:23,270,ServiceMaster Clean,296206,ServiceMaster Restoration by Elite,LIVE,http://sacramentocadamagerepair.com,9162459727,9162459727,9164695934,9164695934,9162459727,9164695934,0,PPC Not Found,0,http://www.sacramentocadamagerepair.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024053402,2018-10-24 05:51:05,270,ServiceMaster Clean,363779,ServiceMaster Restoration and Mitigation by Kennedy,LIVE,http://smrestorationmitigation.com,2253328396,2253328396,2253088290,2253088290,2253328396,2253088290,0,PPC Not Found,0,http://www.smrestorationmitigation.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024053402,2018-10-24 05:51:24,270,ServiceMaster Clean,364788,ServiceMaster Of South Shore Inc - Scituate MA 2,LIVE,http://servicemasterofsouthshore.com,8885068574,8885068574,8004161139,8004161139,8885068574,8004161139,0,PPC Not Found,0,http://www.servicemasterofsouthshore.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024053402,2018-10-24 05:51:43,270,ServiceMaster Clean,365358,ServiceMaster Restoration by McCoy,LIVE,http://servicemastermccoy.com,8887371898,8887371898,8885965122,8885965122,8887371898,8885965122,0,PPC Not Found,0,http://www.servicemastermccoy.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024053402,2018-10-24 05:52:02,270,ServiceMaster Clean,366114,ServiceMaster by Kleidosty,LIVE,http://servicemasterofhawaii.com,8882606578,8882606578,8883790684,8883790684,8882606578,8883790684,0,PPC Not Found,0,http://www.servicemasterofhawaii.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
