Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
All Errors,20181024041204,2018-10-24 04:18:04,458,Miracle-Ear Canada,240865,Miracle Ear - Canadian Tracking - 90001A ( DO NOT DELETE),LIVE,http://miracle-ear-tracking.ca,0,0,0,0,6042591392,7786546735,0,PPC Not Found,0,http://miracle-ear-tracking.ca/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Check if website is live,20181024041204,2018-10-24 04:18:04,458,Miracle-Ear Canada,240865,Miracle Ear - Canadian Tracking - 90001A ( DO NOT DELETE),LIVE,http://miracle-ear-tracking.ca,0,0,0,0,6042591392,7786546735,0,PPC Not Found,0,http://miracle-ear-tracking.ca/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181024041204,2018-10-24 04:18:04,458,Miracle-Ear Canada,240865,Miracle Ear - Canadian Tracking - 90001A ( DO NOT DELETE),LIVE,http://miracle-ear-tracking.ca,0,0,0,0,6042591392,7786546735,0,PPC Not Found,0,http://miracle-ear-tracking.ca/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181024041204,2018-10-24 04:18:04,458,Miracle-Ear Canada,240865,Miracle Ear - Canadian Tracking - 90001A ( DO NOT DELETE),LIVE,http://miracle-ear-tracking.ca,0,0,0,0,6042591392,7786546735,0,PPC Not Found,0,http://miracle-ear-tracking.ca/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Check session tracking code,20181024041204,2018-10-24 04:18:04,458,Miracle-Ear Canada,240865,Miracle Ear - Canadian Tracking - 90001A ( DO NOT DELETE),LIVE,http://miracle-ear-tracking.ca,0,0,0,0,6042591392,7786546735,0,PPC Not Found,0,http://miracle-ear-tracking.ca/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181024041204,2018-10-24 04:18:04,458,Miracle-Ear Canada,240865,Miracle Ear - Canadian Tracking - 90001A ( DO NOT DELETE),LIVE,http://miracle-ear-tracking.ca,0,0,0,0,6042591392,7786546735,0,PPC Not Found,0,http://miracle-ear-tracking.ca/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
