Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
Check unpaid desktop CTN,20181024075839,2018-10-24 08:04:05,211,Critter Control,25197,Critter Control of Omaha,LIVE,http://crittercontrolomaha.net,8004518527,8004518527,4029133600,4029133600,No DB Unpaid Number,4029133600,false,PPC Not Found,0,http://www.crittercontrolomaha.net/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check unpaid desktop CTN,20181024075839,2018-10-24 08:04:24,211,Critter Control,25200,Critter Control of Des Moines,LIVE,http://crittercontroldesmoines.com,5155058963,5155058963,8665767941,8665767941,5154124004,8665767941,1,PPC Not Found,0,http://www.crittercontroldesmoines.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check unpaid desktop CTN,20181024075839,2018-10-24 08:05:02,211,Critter Control,25390,Critter Control of Kansas City,LIVE,http://crittercontrolkansascity.com,9139629200,9139629200,8665760964,8665760964,9134161188,8665760964,1,PPC Not Found,0,http://www.crittercontrolkansascity.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check unpaid desktop CTN,20181024075839,2018-10-24 08:05:21,211,Critter Control,26006,Critter Control of Cleveland,LIVE,http://crittercontrolcleveland.com,2166423044,2166423044,2169200867,2169200867,2165391986,2169200867,1,PPC Not Found,0,http://www.crittercontrolcleveland.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check unpaid desktop CTN,20181024075839,2018-10-24 08:05:40,211,Critter Control,26479,Critter Control of Iowa City,LIVE,http://crittercontroleasterniowa.com,3196832560,3196832560,3192488886,3192488886,3194334816,3192488886,1,PPC Not Found,0,http://www.crittercontroleasterniowa.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check unpaid desktop CTN,20181024075839,2018-10-24 08:10:06,211,Critter Control,44976,Critter Control of Portland,LIVE,http://crittercontrolportlandor.com,5032440993,5032440993,5033081904,5033081904,5034706248,5033081904,1,PPC Not Found,0,http://www.crittercontrolportlandor.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check unpaid mobile CTN,20181024075839,2018-10-24 08:02:46,211,Critter Control,25146,Critter Control of Grand Rapids,LIVE,http://crittercontrolgrandrapids.com,6162022606,6162022606,6164331519,6164331519,6164258073,6164331519,1,PPC Not Found,0,http://www.crittercontrolgrandrapids.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check unpaid mobile CTN,20181024075839,2018-10-24 08:03:06,211,Critter Control,25148,Critter Control of Westland,LIVE,http://crittercontrolwestland.com,0,0,0,0,No DB Unpaid Number,7343358981,false,PPC Not Found,0,http://crittercontrolwestland.com/?provider=google,200,200,205.178.189.131,ns98.worldnic.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181024075839,2018-10-24 08:03:26,211,Critter Control,25163,Critter Control of Ann Arbor,LIVE,http://crittercontrolannarbor.com,7343337349,7343337349,7344681106,7344681106,7343310959,7344681106,1,PPC Not Found,0,http://www.crittercontrolannarbor.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check unpaid mobile CTN,20181024075839,2018-10-24 08:04:05,211,Critter Control,25197,Critter Control of Omaha,LIVE,http://crittercontrolomaha.net,8004518527,8004518527,4029133600,4029133600,No DB Unpaid Number,4029133600,false,PPC Not Found,0,http://www.crittercontrolomaha.net/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check unpaid mobile CTN,20181024075839,2018-10-24 08:04:24,211,Critter Control,25200,Critter Control of Des Moines,LIVE,http://crittercontroldesmoines.com,5155058963,5155058963,8665767941,8665767941,5154124004,8665767941,1,PPC Not Found,0,http://www.crittercontroldesmoines.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check unpaid mobile CTN,20181024075839,2018-10-24 08:05:02,211,Critter Control,25390,Critter Control of Kansas City,LIVE,http://crittercontrolkansascity.com,9139629200,9139629200,8665760964,8665760964,9134161188,8665760964,1,PPC Not Found,0,http://www.crittercontrolkansascity.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check unpaid mobile CTN,20181024075839,2018-10-24 08:05:21,211,Critter Control,26006,Critter Control of Cleveland,LIVE,http://crittercontrolcleveland.com,2166423044,2166423044,2169200867,2169200867,2165391986,2169200867,1,PPC Not Found,0,http://www.crittercontrolcleveland.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check unpaid mobile CTN,20181024075839,2018-10-24 08:05:40,211,Critter Control,26479,Critter Control of Iowa City,LIVE,http://crittercontroleasterniowa.com,3196832560,3196832560,3192488886,3192488886,3194334816,3192488886,1,PPC Not Found,0,http://www.crittercontroleasterniowa.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check unpaid mobile CTN,20181024075839,2018-10-24 08:10:06,211,Critter Control,44976,Critter Control of Portland,LIVE,http://crittercontrolportlandor.com,5032440993,5032440993,5033081904,5033081904,5034706248,5033081904,1,PPC Not Found,0,http://www.crittercontrolportlandor.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check session tracking code,20181024075839,2018-10-24 08:03:06,211,Critter Control,25148,Critter Control of Westland,LIVE,http://crittercontrolwestland.com,0,0,0,0,No DB Unpaid Number,7343358981,false,PPC Not Found,0,http://crittercontrolwestland.com/?provider=google,200,200,205.178.189.131,ns98.worldnic.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181024075839,2018-10-24 08:02:46,211,Critter Control,25146,Critter Control of Grand Rapids,LIVE,http://crittercontrolgrandrapids.com,6162022606,6162022606,6164331519,6164331519,6164258073,6164331519,1,PPC Not Found,0,http://www.crittercontrolgrandrapids.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check if SSL is enabled,20181024075839,2018-10-24 08:03:06,211,Critter Control,25148,Critter Control of Westland,LIVE,http://crittercontrolwestland.com,0,0,0,0,No DB Unpaid Number,7343358981,false,PPC Not Found,0,http://crittercontrolwestland.com/?provider=google,200,200,205.178.189.131,ns98.worldnic.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181024075839,2018-10-24 08:03:26,211,Critter Control,25163,Critter Control of Ann Arbor,LIVE,http://crittercontrolannarbor.com,7343337349,7343337349,7344681106,7344681106,7343310959,7344681106,1,PPC Not Found,0,http://www.crittercontrolannarbor.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check if SSL is enabled,20181024075839,2018-10-24 08:03:45,211,Critter Control,25166,Critter Control of Lexington (KY),LIVE,http://crittercontrollexington.com,8594751578,8594751578,8593095540,8593095540,8594751578,8593095540,0,PPC Not Found,0,http://www.crittercontrollexington.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Check if SSL is enabled,20181024075839,2018-10-24 08:04:05,211,Critter Control,25197,Critter Control of Omaha,LIVE,http://crittercontrolomaha.net,8004518527,8004518527,4029133600,4029133600,No DB Unpaid Number,4029133600,false,PPC Not Found,0,http://www.crittercontrolomaha.net/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check if SSL is enabled,20181024075839,2018-10-24 08:04:24,211,Critter Control,25200,Critter Control of Des Moines,LIVE,http://crittercontroldesmoines.com,5155058963,5155058963,8665767941,8665767941,5154124004,8665767941,1,PPC Not Found,0,http://www.crittercontroldesmoines.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check if SSL is enabled,20181024075839,2018-10-24 08:04:43,211,Critter Control,25233,Critter Control of Seattle,LIVE,http://crittercontrolseattle.com,2534587304,2534587304,2532168474,2532168474,2534587304,2532168474,0,PPC Not Found,0,http://www.crittercontrolseattle.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Check if SSL is enabled,20181024075839,2018-10-24 08:05:02,211,Critter Control,25390,Critter Control of Kansas City,LIVE,http://crittercontrolkansascity.com,9139629200,9139629200,8665760964,8665760964,9134161188,8665760964,1,PPC Not Found,0,http://www.crittercontrolkansascity.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check if SSL is enabled,20181024075839,2018-10-24 08:05:21,211,Critter Control,26006,Critter Control of Cleveland,LIVE,http://crittercontrolcleveland.com,2166423044,2166423044,2169200867,2169200867,2165391986,2169200867,1,PPC Not Found,0,http://www.crittercontrolcleveland.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check if SSL is enabled,20181024075839,2018-10-24 08:05:40,211,Critter Control,26479,Critter Control of Iowa City,LIVE,http://crittercontroleasterniowa.com,3196832560,3196832560,3192488886,3192488886,3194334816,3192488886,1,PPC Not Found,0,http://www.crittercontroleasterniowa.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check if SSL is enabled,20181024075839,2018-10-24 08:10:06,211,Critter Control,44976,Critter Control of Portland,LIVE,http://crittercontrolportlandor.com,5032440993,5032440993,5033081904,5033081904,5034706248,5033081904,1,PPC Not Found,0,http://www.crittercontrolportlandor.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Check if SSL is enabled,20181024075839,2018-10-24 08:20:14,211,Critter Control,314341,Critter Control of Charlotte - Charlotte NC,LIVE,http://crittercontrolofcharlotte.com,9802886133,9802886133,7046214563,7046214563,9802886133,7046214563,0,PPC Not Found,0,http://www.crittercontrolofcharlotte.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024075839,2018-10-24 08:02:46,211,Critter Control,25146,Critter Control of Grand Rapids,LIVE,http://crittercontrolgrandrapids.com,6162022606,6162022606,6164331519,6164331519,6164258073,6164331519,1,PPC Not Found,0,http://www.crittercontrolgrandrapids.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024075839,2018-10-24 08:03:26,211,Critter Control,25163,Critter Control of Ann Arbor,LIVE,http://crittercontrolannarbor.com,7343337349,7343337349,7344681106,7344681106,7343310959,7344681106,1,PPC Not Found,0,http://www.crittercontrolannarbor.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024075839,2018-10-24 08:03:45,211,Critter Control,25166,Critter Control of Lexington (KY),LIVE,http://crittercontrollexington.com,8594751578,8594751578,8593095540,8593095540,8594751578,8593095540,0,PPC Not Found,0,http://www.crittercontrollexington.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024075839,2018-10-24 08:04:05,211,Critter Control,25197,Critter Control of Omaha,LIVE,http://crittercontrolomaha.net,8004518527,8004518527,4029133600,4029133600,No DB Unpaid Number,4029133600,false,PPC Not Found,0,http://www.crittercontrolomaha.net/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024075839,2018-10-24 08:04:24,211,Critter Control,25200,Critter Control of Des Moines,LIVE,http://crittercontroldesmoines.com,5155058963,5155058963,8665767941,8665767941,5154124004,8665767941,1,PPC Not Found,0,http://www.crittercontroldesmoines.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024075839,2018-10-24 08:04:43,211,Critter Control,25233,Critter Control of Seattle,LIVE,http://crittercontrolseattle.com,2534587304,2534587304,2532168474,2532168474,2534587304,2532168474,0,PPC Not Found,0,http://www.crittercontrolseattle.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024075839,2018-10-24 08:05:02,211,Critter Control,25390,Critter Control of Kansas City,LIVE,http://crittercontrolkansascity.com,9139629200,9139629200,8665760964,8665760964,9134161188,8665760964,1,PPC Not Found,0,http://www.crittercontrolkansascity.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024075839,2018-10-24 08:05:21,211,Critter Control,26006,Critter Control of Cleveland,LIVE,http://crittercontrolcleveland.com,2166423044,2166423044,2169200867,2169200867,2165391986,2169200867,1,PPC Not Found,0,http://www.crittercontrolcleveland.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024075839,2018-10-24 08:05:40,211,Critter Control,26479,Critter Control of Iowa City,LIVE,http://crittercontroleasterniowa.com,3196832560,3196832560,3192488886,3192488886,3194334816,3192488886,1,PPC Not Found,0,http://www.crittercontroleasterniowa.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024075839,2018-10-24 08:10:06,211,Critter Control,44976,Critter Control of Portland,LIVE,http://crittercontrolportlandor.com,5032440993,5032440993,5033081904,5033081904,5034706248,5033081904,1,PPC Not Found,0,http://www.crittercontrolportlandor.com/?provider=google,301,200,205.178.153.6,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,
Provision SSL,20181024075839,2018-10-24 08:20:14,211,Critter Control,314341,Critter Control of Charlotte - Charlotte NC,LIVE,http://crittercontrolofcharlotte.com,9802886133,9802886133,7046214563,7046214563,9802886133,7046214563,0,PPC Not Found,0,http://www.crittercontrolofcharlotte.com/?provider=google,301,200,205.178.153.6,ns3a.dns-host.com.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,
