Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
Check unpaid desktop CTN,20181023205944,2018-10-23 21:00:49,235,Four Seasons Sunrooms,123578,FSS - Affordable Construction Co.,LIVE,http://sunroomslambertvillemi.com,0,0,0,0,4197986340,4197986359,0,PPC Not Found,0,http://sunroomslambertvillemi.com/?provider=google,200,200,209.200.154.51,dns3.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181023205944,2018-10-23 21:03:36,235,Four Seasons Sunrooms,123675,FSS - Bruin Corp Of Attleboro,LIVE,http://sunroomsnorthattleboroma.com,0,0,0,0,5082976071,5088347440,0,PPC Not Found,0,http://sunroomsnorthattleboroma.com/?provider=google,200,200,209.200.154.51,dns5.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181023205944,2018-10-23 21:05:01,235,Four Seasons Sunrooms,123681,FSS - Chris Egner Design-Build-RemodelLLC.,LIVE,http://sunroomsnewberlinwi.com,0,0,0,0,2623745580,2625822640,0,PPC Not Found,0,http://sunroomsnewberlinwi.com/?provider=google,200,200,209.200.154.51,dns5.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181023205944,2018-10-23 21:05:41,235,Four Seasons Sunrooms,123683,FSS - Classic Builders And SunroomsLLC.,LIVE,http://sunroomsgoffstownnh.com,0,0,0,0,6037647058,6035093951,0,PPC Not Found,0,http://sunroomsgoffstownnh.com/?provider=google,200,200,141.8.225.68,NS Not Found,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181023205944,2018-10-23 21:07:32,235,Four Seasons Sunrooms,123692,FSS - Creative Remodeling Designs Inc.,LIVE,http://sunroomsdenvillenj.com,0,0,0,0,9735069981,8887445857,0,PPC Not Found,0,http://sunroomsdenvillenj.com/?provider=google,200,200,209.200.154.51,dns1.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181023205944,2018-10-23 21:07:51,235,Four Seasons Sunrooms,123693,FSS - Creative Sunrooms,LIVE,http://sunroomsseekonkma.com,0,0,0,0,5082976124,5082976078,0,PPC Not Found,0,http://sunroomsseekonkma.com/?provider=google,200,200,209.200.154.51,dns4.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181023205944,2018-10-23 21:08:09,235,Four Seasons Sunrooms,123695,FSS - Dave Albright,LIVE,http://sunroomsgranthamnh.com,0,0,0,0,6037681725,6032465109,0,PPC Not Found,0,http://sunroomsgranthamnh.com/?provider=google,200,200,209.200.154.51,dns1.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181023205944,2018-10-23 21:08:28,235,Four Seasons Sunrooms,123696,FSS - Homestar Construction,LIVE,http://sunroomsarroyoca.com,0,0,0,0,8052961460,No DB Paid Number,0,PPC Not Found,0,http://sunroomsarroyoca.com/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181023205944,2018-10-23 21:09:27,235,Four Seasons Sunrooms,123699,FSS - Distinct Design Inc..,LIVE,http://sunroomslongwoodfl.com,0,0,0,0,4073785497,4076740906,0,PPC Not Found,0,http://sunroomslongwoodfl.com/?provider=google,200,200,209.200.154.51,dns5.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181023205944,2018-10-23 21:09:46,235,Four Seasons Sunrooms,123700,FSS - Dj's Glass Plus Inc.,LIVE,http://sunroomsgreenriverwy.com,0,0,0,0,3072012142,3072007856,0,PPC Not Found,0,http://sunroomsgreenriverwy.com/?provider=google,200,200,209.200.154.51,dns5.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181023205944,2018-10-23 21:12:13,235,Four Seasons Sunrooms,123710,FSS - Envision-Elchin Inc,LIVE,http://sunroomschesapeakeva.com,0,0,0,0,7572092282,7572092182,0,PPC Not Found,0,http://sunroomschesapeakeva.com/?provider=google,200,200,209.200.154.51,dns2.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181023205944,2018-10-23 21:13:36,235,Four Seasons Sunrooms,123715,FSS - Flore Designs Of L. I.,LIVE,http://sunroomsplainviewny.com,0,0,0,0,5164150351,5164410137,0,PPC Not Found,0,http://sunroomsplainviewny.com/?provider=google,200,200,209.200.154.51,dns2.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181023205944,2018-10-23 21:14:15,235,Four Seasons Sunrooms,123721,FSS - Global Spas Stoves & Sunrooms,LIVE,http://sunroomscheyennewy.com,0,0,0,0,3072012136,3072012145,0,PPC Not Found,0,http://sunroomscheyennewy.com/?provider=google,200,200,209.200.154.51,dns3.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid desktop CTN,20181023205944,2018-10-23 21:14:34,235,Four Seasons Sunrooms,123724,FSS - Green International Inc.,LIVE,http://sunroomslittleneckny.com,3473381481,3473381481,3473094328,3473094328,3474337982,3473094328,0,PPC Not Found,2,https://www.sunroomslittleneckny.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,
Check unpaid mobile CTN,20181023205944,2018-10-23 21:00:49,235,Four Seasons Sunrooms,123578,FSS - Affordable Construction Co.,LIVE,http://sunroomslambertvillemi.com,0,0,0,0,4197986340,4197986359,0,PPC Not Found,0,http://sunroomslambertvillemi.com/?provider=google,200,200,209.200.154.51,dns3.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181023205944,2018-10-23 21:03:36,235,Four Seasons Sunrooms,123675,FSS - Bruin Corp Of Attleboro,LIVE,http://sunroomsnorthattleboroma.com,0,0,0,0,5082976071,5088347440,0,PPC Not Found,0,http://sunroomsnorthattleboroma.com/?provider=google,200,200,209.200.154.51,dns5.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181023205944,2018-10-23 21:05:01,235,Four Seasons Sunrooms,123681,FSS - Chris Egner Design-Build-RemodelLLC.,LIVE,http://sunroomsnewberlinwi.com,0,0,0,0,2623745580,2625822640,0,PPC Not Found,0,http://sunroomsnewberlinwi.com/?provider=google,200,200,209.200.154.51,dns5.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181023205944,2018-10-23 21:05:41,235,Four Seasons Sunrooms,123683,FSS - Classic Builders And SunroomsLLC.,LIVE,http://sunroomsgoffstownnh.com,0,0,0,0,6037647058,6035093951,0,PPC Not Found,0,http://sunroomsgoffstownnh.com/?provider=google,200,200,141.8.225.68,NS Not Found,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181023205944,2018-10-23 21:07:32,235,Four Seasons Sunrooms,123692,FSS - Creative Remodeling Designs Inc.,LIVE,http://sunroomsdenvillenj.com,0,0,0,0,9735069981,8887445857,0,PPC Not Found,0,http://sunroomsdenvillenj.com/?provider=google,200,200,209.200.154.51,dns1.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181023205944,2018-10-23 21:07:51,235,Four Seasons Sunrooms,123693,FSS - Creative Sunrooms,LIVE,http://sunroomsseekonkma.com,0,0,0,0,5082976124,5082976078,0,PPC Not Found,0,http://sunroomsseekonkma.com/?provider=google,200,200,209.200.154.51,dns4.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181023205944,2018-10-23 21:08:09,235,Four Seasons Sunrooms,123695,FSS - Dave Albright,LIVE,http://sunroomsgranthamnh.com,0,0,0,0,6037681725,6032465109,0,PPC Not Found,0,http://sunroomsgranthamnh.com/?provider=google,200,200,209.200.154.51,dns1.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181023205944,2018-10-23 21:08:28,235,Four Seasons Sunrooms,123696,FSS - Homestar Construction,LIVE,http://sunroomsarroyoca.com,0,0,0,0,8052961460,No DB Paid Number,0,PPC Not Found,0,http://sunroomsarroyoca.com/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181023205944,2018-10-23 21:09:27,235,Four Seasons Sunrooms,123699,FSS - Distinct Design Inc..,LIVE,http://sunroomslongwoodfl.com,0,0,0,0,4073785497,4076740906,0,PPC Not Found,0,http://sunroomslongwoodfl.com/?provider=google,200,200,209.200.154.51,dns5.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181023205944,2018-10-23 21:09:46,235,Four Seasons Sunrooms,123700,FSS - Dj's Glass Plus Inc.,LIVE,http://sunroomsgreenriverwy.com,0,0,0,0,3072012142,3072007856,0,PPC Not Found,0,http://sunroomsgreenriverwy.com/?provider=google,200,200,209.200.154.51,dns5.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181023205944,2018-10-23 21:12:13,235,Four Seasons Sunrooms,123710,FSS - Envision-Elchin Inc,LIVE,http://sunroomschesapeakeva.com,0,0,0,0,7572092282,7572092182,0,PPC Not Found,0,http://sunroomschesapeakeva.com/?provider=google,200,200,209.200.154.51,dns2.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181023205944,2018-10-23 21:13:36,235,Four Seasons Sunrooms,123715,FSS - Flore Designs Of L. I.,LIVE,http://sunroomsplainviewny.com,0,0,0,0,5164150351,5164410137,0,PPC Not Found,0,http://sunroomsplainviewny.com/?provider=google,200,200,209.200.154.51,dns2.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181023205944,2018-10-23 21:14:15,235,Four Seasons Sunrooms,123721,FSS - Global Spas Stoves & Sunrooms,LIVE,http://sunroomscheyennewy.com,0,0,0,0,3072012136,3072012145,0,PPC Not Found,0,http://sunroomscheyennewy.com/?provider=google,200,200,209.200.154.51,dns3.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check unpaid mobile CTN,20181023205944,2018-10-23 21:14:34,235,Four Seasons Sunrooms,123724,FSS - Green International Inc.,LIVE,http://sunroomslittleneckny.com,3473381481,3473381481,3473094328,3473094328,3474337982,3473094328,0,PPC Not Found,2,https://www.sunroomslittleneckny.com/?provider=google,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,
Check session tracking code,20181023205944,2018-10-23 21:00:49,235,Four Seasons Sunrooms,123578,FSS - Affordable Construction Co.,LIVE,http://sunroomslambertvillemi.com,0,0,0,0,4197986340,4197986359,0,PPC Not Found,0,http://sunroomslambertvillemi.com/?provider=google,200,200,209.200.154.51,dns3.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check session tracking code,20181023205944,2018-10-23 21:03:36,235,Four Seasons Sunrooms,123675,FSS - Bruin Corp Of Attleboro,LIVE,http://sunroomsnorthattleboroma.com,0,0,0,0,5082976071,5088347440,0,PPC Not Found,0,http://sunroomsnorthattleboroma.com/?provider=google,200,200,209.200.154.51,dns5.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check session tracking code,20181023205944,2018-10-23 21:05:01,235,Four Seasons Sunrooms,123681,FSS - Chris Egner Design-Build-RemodelLLC.,LIVE,http://sunroomsnewberlinwi.com,0,0,0,0,2623745580,2625822640,0,PPC Not Found,0,http://sunroomsnewberlinwi.com/?provider=google,200,200,209.200.154.51,dns5.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check session tracking code,20181023205944,2018-10-23 21:05:41,235,Four Seasons Sunrooms,123683,FSS - Classic Builders And SunroomsLLC.,LIVE,http://sunroomsgoffstownnh.com,0,0,0,0,6037647058,6035093951,0,PPC Not Found,0,http://sunroomsgoffstownnh.com/?provider=google,200,200,141.8.225.68,NS Not Found,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check session tracking code,20181023205944,2018-10-23 21:07:32,235,Four Seasons Sunrooms,123692,FSS - Creative Remodeling Designs Inc.,LIVE,http://sunroomsdenvillenj.com,0,0,0,0,9735069981,8887445857,0,PPC Not Found,0,http://sunroomsdenvillenj.com/?provider=google,200,200,209.200.154.51,dns1.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check session tracking code,20181023205944,2018-10-23 21:07:51,235,Four Seasons Sunrooms,123693,FSS - Creative Sunrooms,LIVE,http://sunroomsseekonkma.com,0,0,0,0,5082976124,5082976078,0,PPC Not Found,0,http://sunroomsseekonkma.com/?provider=google,200,200,209.200.154.51,dns4.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check session tracking code,20181023205944,2018-10-23 21:08:09,235,Four Seasons Sunrooms,123695,FSS - Dave Albright,LIVE,http://sunroomsgranthamnh.com,0,0,0,0,6037681725,6032465109,0,PPC Not Found,0,http://sunroomsgranthamnh.com/?provider=google,200,200,209.200.154.51,dns1.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check session tracking code,20181023205944,2018-10-23 21:08:28,235,Four Seasons Sunrooms,123696,FSS - Homestar Construction,LIVE,http://sunroomsarroyoca.com,0,0,0,0,8052961460,No DB Paid Number,0,PPC Not Found,0,http://sunroomsarroyoca.com/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Check session tracking code,20181023205944,2018-10-23 21:09:27,235,Four Seasons Sunrooms,123699,FSS - Distinct Design Inc..,LIVE,http://sunroomslongwoodfl.com,0,0,0,0,4073785497,4076740906,0,PPC Not Found,0,http://sunroomslongwoodfl.com/?provider=google,200,200,209.200.154.51,dns5.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check session tracking code,20181023205944,2018-10-23 21:09:46,235,Four Seasons Sunrooms,123700,FSS - Dj's Glass Plus Inc.,LIVE,http://sunroomsgreenriverwy.com,0,0,0,0,3072012142,3072007856,0,PPC Not Found,0,http://sunroomsgreenriverwy.com/?provider=google,200,200,209.200.154.51,dns5.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check session tracking code,20181023205944,2018-10-23 21:12:13,235,Four Seasons Sunrooms,123710,FSS - Envision-Elchin Inc,LIVE,http://sunroomschesapeakeva.com,0,0,0,0,7572092282,7572092182,0,PPC Not Found,0,http://sunroomschesapeakeva.com/?provider=google,200,200,209.200.154.51,dns2.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check session tracking code,20181023205944,2018-10-23 21:13:36,235,Four Seasons Sunrooms,123715,FSS - Flore Designs Of L. I.,LIVE,http://sunroomsplainviewny.com,0,0,0,0,5164150351,5164410137,0,PPC Not Found,0,http://sunroomsplainviewny.com/?provider=google,200,200,209.200.154.51,dns2.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check session tracking code,20181023205944,2018-10-23 21:14:15,235,Four Seasons Sunrooms,123721,FSS - Global Spas Stoves & Sunrooms,LIVE,http://sunroomscheyennewy.com,0,0,0,0,3072012136,3072012145,0,PPC Not Found,0,http://sunroomscheyennewy.com/?provider=google,200,200,209.200.154.51,dns3.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181023205944,2018-10-23 21:00:49,235,Four Seasons Sunrooms,123578,FSS - Affordable Construction Co.,LIVE,http://sunroomslambertvillemi.com,0,0,0,0,4197986340,4197986359,0,PPC Not Found,0,http://sunroomslambertvillemi.com/?provider=google,200,200,209.200.154.51,dns3.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181023205944,2018-10-23 21:03:36,235,Four Seasons Sunrooms,123675,FSS - Bruin Corp Of Attleboro,LIVE,http://sunroomsnorthattleboroma.com,0,0,0,0,5082976071,5088347440,0,PPC Not Found,0,http://sunroomsnorthattleboroma.com/?provider=google,200,200,209.200.154.51,dns5.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181023205944,2018-10-23 21:05:01,235,Four Seasons Sunrooms,123681,FSS - Chris Egner Design-Build-RemodelLLC.,LIVE,http://sunroomsnewberlinwi.com,0,0,0,0,2623745580,2625822640,0,PPC Not Found,0,http://sunroomsnewberlinwi.com/?provider=google,200,200,209.200.154.51,dns5.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181023205944,2018-10-23 21:05:41,235,Four Seasons Sunrooms,123683,FSS - Classic Builders And SunroomsLLC.,LIVE,http://sunroomsgoffstownnh.com,0,0,0,0,6037647058,6035093951,0,PPC Not Found,0,http://sunroomsgoffstownnh.com/?provider=google,200,200,141.8.225.68,NS Not Found,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181023205944,2018-10-23 21:07:32,235,Four Seasons Sunrooms,123692,FSS - Creative Remodeling Designs Inc.,LIVE,http://sunroomsdenvillenj.com,0,0,0,0,9735069981,8887445857,0,PPC Not Found,0,http://sunroomsdenvillenj.com/?provider=google,200,200,209.200.154.51,dns1.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181023205944,2018-10-23 21:07:51,235,Four Seasons Sunrooms,123693,FSS - Creative Sunrooms,LIVE,http://sunroomsseekonkma.com,0,0,0,0,5082976124,5082976078,0,PPC Not Found,0,http://sunroomsseekonkma.com/?provider=google,200,200,209.200.154.51,dns4.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181023205944,2018-10-23 21:08:09,235,Four Seasons Sunrooms,123695,FSS - Dave Albright,LIVE,http://sunroomsgranthamnh.com,0,0,0,0,6037681725,6032465109,0,PPC Not Found,0,http://sunroomsgranthamnh.com/?provider=google,200,200,209.200.154.51,dns1.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181023205944,2018-10-23 21:08:28,235,Four Seasons Sunrooms,123696,FSS - Homestar Construction,LIVE,http://sunroomsarroyoca.com,0,0,0,0,8052961460,No DB Paid Number,0,PPC Not Found,0,http://sunroomsarroyoca.com/?provider=google,0,0,0,0,yes,no,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181023205944,2018-10-23 21:09:27,235,Four Seasons Sunrooms,123699,FSS - Distinct Design Inc..,LIVE,http://sunroomslongwoodfl.com,0,0,0,0,4073785497,4076740906,0,PPC Not Found,0,http://sunroomslongwoodfl.com/?provider=google,200,200,209.200.154.51,dns5.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181023205944,2018-10-23 21:09:46,235,Four Seasons Sunrooms,123700,FSS - Dj's Glass Plus Inc.,LIVE,http://sunroomsgreenriverwy.com,0,0,0,0,3072012142,3072007856,0,PPC Not Found,0,http://sunroomsgreenriverwy.com/?provider=google,200,200,209.200.154.51,dns5.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181023205944,2018-10-23 21:12:13,235,Four Seasons Sunrooms,123710,FSS - Envision-Elchin Inc,LIVE,http://sunroomschesapeakeva.com,0,0,0,0,7572092282,7572092182,0,PPC Not Found,0,http://sunroomschesapeakeva.com/?provider=google,200,200,209.200.154.51,dns2.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181023205944,2018-10-23 21:13:36,235,Four Seasons Sunrooms,123715,FSS - Flore Designs Of L. I.,LIVE,http://sunroomsplainviewny.com,0,0,0,0,5164150351,5164410137,0,PPC Not Found,0,http://sunroomsplainviewny.com/?provider=google,200,200,209.200.154.51,dns2.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
Check if SSL is enabled,20181023205944,2018-10-23 21:14:15,235,Four Seasons Sunrooms,123721,FSS - Global Spas Stoves & Sunrooms,LIVE,http://sunroomscheyennewy.com,0,0,0,0,3072012136,3072012145,0,PPC Not Found,0,http://sunroomscheyennewy.com/?provider=google,200,200,209.200.154.51,dns3.name-services.com.,yes,yes,yes,no,no,no,no,yes,no,no,no,no,
