Error type,qa_session_id,audit_timestamp,corp_id,corp_name,client_id,client_name,client_status,client_url,web_unpaid_desk_num,web_unpaid_mobile_num,web_paid_desk_num,web_paid_mobile_num,db_unpaid_num,db_paid_num,db_show_dest_num,db_paid_product,db_ssl_status,final_url,initial_http_status,final_http_status,final_url_ip,final_url_ns,is_domain_in_yl,is_website_live,is_website_redirected,is_unpaid_desk_match,is_unpaid_mob_match,is_paid_desk_match,is_paid_mob_match,is_paid_ctn_config_proper,is_session_tracking_on,is_https_on,is_https_doable,is_error_free
Check session tracking code,20181024063123,2018-10-24 06:31:44,112,One Hour Air,23483,High Tech Mechanical Inc.,LIVE,http://hightechmech.com,6057185403,6057185403,6057185403,6057185403,6059393370,6056532264,0,PPC Not Found,1,https://www.hightechmech.com/?provider=google,301,200,174.129.25.170,ns75.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check session tracking code,20181024063123,2018-10-24 06:32:28,112,One Hour Air,47176,One Hour Heating & Air Conditioning of Cincinnati OH,LIVE,http://onehouraircincy.com,5133222870,5133222870,5133222870,5133222870,5133222870,No DB Paid Number,0,PPC Not Found,0,https://www.onehourheatandair.com/cincinnati-oh,301,200,4.34.229.183,dns2.cscdns.net.,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,
Check session tracking code,20181024063123,2018-10-24 06:32:54,112,One Hour Air,48507,One Hour Heating & Air Conditioning of Hanover MD,LIVE,http://onehourbaltimore.com,5133222870,5133222870,8005741725,8005741725,4433129454,No DB Paid Number,0,PPC Not Found,0,https://www.onehourheatandair.com/?provider=google,301,200,4.34.229.183,dns2.cscdns.net.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check session tracking code,20181024063123,2018-10-24 06:33:18,112,One Hour Air,48521,One Hour Heating & Air Conditioning of Birmingham AL,LIVE,http://onehourbirmingham.com,0,0,0,0,2055882260,No DB Paid Number,0,PPC Not Found,0,https://onehourbirmingham.com/?provider=google,301,200,198.61.198.95,dns2.cscdns.net.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check session tracking code,20181024063123,2018-10-24 06:33:50,112,One Hour Air,48523,One Hour Heating & Air Conditioning of Pompano Beach FL,LIVE,http://vansonehourac.com,5619003157,5619003157,5619003157,5619003157,5619003157,No DB Paid Number,0,PPC Not Found,0,https://www.onehourheatandair.com/pompano-beach-fl,301,200,4.34.229.183,dns2.cscdns.net.,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,
Check session tracking code,20181024063123,2018-10-24 06:34:15,112,One Hour Air,48524,One Hour Heating & Air Conditioning of Portland TX,LIVE,http://onehouraircorpuschristi.com,3614440288,3614440288,3614440288,3614440288,3614440288,No DB Paid Number,0,PPC Not Found,0,https://www.onehourheatandair.com/corpus-christi-tx,301,200,4.34.229.183,dns2.cscdns.net.,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,
Check session tracking code,20181024063123,2018-10-24 06:34:40,112,One Hour Air,48528,One Hour Heating & Air Conditioning of Naples FL,LIVE,http://onehourairnaples.com,2394945376,2394945376,2394945376,2394945376,2394945376,No DB Paid Number,0,PPC Not Found,0,https://www.onehourheatandair.com/naples-fl,301,200,4.34.229.183,dns2.cscdns.net.,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,
Check session tracking code,20181024063123,2018-10-24 06:35:04,112,One Hour Air,48865,One Hour Heating & Air Conditioning of Houston TX - Sam Houston Pkwy,LIVE,http://onehourhoustonac.com,2816011498,2816011498,2816011498,2816011498,2816011498,No DB Paid Number,0,PPC Not Found,0,https://www.onehourheatandair.com/houston-tx,301,200,4.34.229.183,dns2.cscdns.net.,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,
Check session tracking code,20181024063123,2018-10-24 06:35:30,112,One Hour Air,50922,One Hour Heating & Air Conditioning of Rocklin CA,LIVE,http://sacramentoonehour.com,9163438442,9163438442,9163438442,9163438442,9163438442,9165463684,0,PPC Not Found,0,https://www.onehourheatandair.com/rocklin-ca,301,200,4.34.229.183,dns2.cscdns.net.,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,
Check session tracking code,20181024063123,2018-10-24 06:35:55,112,One Hour Air,50997,One Hour Heating & Air Conditioning of Indianapolis IN,LIVE,http://onehourairindy.com,3175631659,3175631659,3175631659,3175631659,3175631659,No DB Paid Number,0,PPC Not Found,0,https://www.onehourheatandair.com/indianapolis-in,301,200,4.34.229.183,dns2.cscdns.net.,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,
Check session tracking code,20181024063123,2018-10-24 06:36:18,112,One Hour Air,51089,One Hour Heating & Air Conditioning of Denver CO,LIVE,http://onehourairdenver.com,7208081405,7208081405,7208081405,7208081405,7208081405,No DB Paid Number,0,PPC Not Found,0,https://www.onehourheatandair.com/denver-co,301,200,4.34.229.183,dns2.cscdns.net.,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,
Check session tracking code,20181024063123,2018-10-24 06:37:03,112,One Hour Air,51890,One Hour Heating & Air Conditioning of Loveland CO,LIVE,http://onehourairlovelandco.com,9704140973,9704140973,9704140973,9704140973,9704140973,No DB Paid Number,0,PPC Not Found,0,https://www.onehourheatandair.com/loveland-co,301,200,4.34.229.183,dns2.cscdns.net.,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,
Check session tracking code,20181024063123,2018-10-24 06:38:29,112,One Hour Air,59831,One Hour Heating & Air Conditioning of Butler PA,LIVE,http://schneideronehour.com,0,0,0,0,7249490720,7242306901,0,PPC Not Found,2,https://schneideronehour.com/?provider=google,301,200,159.203.105.209,ns21.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check session tracking code,20181024063123,2018-10-24 06:39:08,112,One Hour Air,61800,One Hour Heating & Air Conditioning of Atlantic Beach FL,LIVE,http://onehourairjacksonville.com,0,0,0,0,9043855549,9044687932,0,PPC Not Found,0,https://onehourbros.com/jacksonville/?provider=google,301,200,159.203.105.209,ns41.domaincontrol.com.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check session tracking code,20181024063123,2018-10-24 06:40:28,112,One Hour Air,111662,One Hour Heating & Air Conditioning of Marietta GA,LIVE,http://onehourairwestatlanta.com,8005741725,8005741725,8005741725,8005741725,4046926665,No DB Paid Number,0,PPC Not Found,0,https://www.onehourheatandair.com/,301,200,4.34.229.183,dns2.cscdns.net.,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,
Check session tracking code,20181024063123,2018-10-24 06:40:54,112,One Hour Air,111664,One Hour Heating & Air Conditioning of Henderson NV,LIVE,http://onehourairlasvegas.com,7024207739,7024207739,7024207739,7024207739,7024207739,No DB Paid Number,0,PPC Not Found,0,https://www.onehourheatandair.com/las-vegas-nv,301,200,4.34.229.183,dns2.cscdns.net.,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,
